GeoPotHeight(m),WindSpd(m/s),WindDir(deg),Mark
26,0.1,,SingularPoint
29,0.0,,
124,3.0,102.0,SingularPoint
257,4.0,84.0,SingularPoint
409,2.0,137.0,SingularPoint
727,1.0,294.0,SingularPoint
961,3.0,294.0,
1074,4.0,285.0,SingularPoint
1290,5.0,335.0,SingularPoint
1508,7.0,283.0,SingularPoint
1624,5.0,298.0,SingularPoint
1804,10.0,288.0,
2089,12.0,257.0,SingularPoint
2428,11.0,260.0,
2744,14.0,277.0,
2924,13.0,285.0,
3094,11.0,279.0,
3421,12.0,286.0,SingularPoint
3753,11.0,279.0,
4004,13.0,283.0,
4088,16.0,280.0,
4177,16.0,275.0,SingularPoint
4254,19.0,279.0,
4387,16.0,280.0,
4626,18.0,288.0,SingularPoint
4821,15.0,287.0,
4960,17.0,282.0,SingularPoint
5283,20.0,282.0,
5508,18.0,284.0,
5668,22.0,287.0,SingularPoint
5825,24.0,288.0,
5916,22.0,292.0,
6248,22.0,288.0,
6392,24.0,300.0,
6725,24.0,295.0,
7021,24.0,295.0,
7143,27.0,295.0,SingularPoint
7276,24.0,292.0,
7597,27.0,297.0,
7950,25.0,293.0,SingularPoint
8151,28.0,293.0,
8525,30.0,293.0,
8891,33.0,287.0,
9029,31.0,286.0,
9205,32.0,287.0,
9590,35.0,285.0,
9908,38.0,286.0,
10038,40.0,285.0,
10302,42.0,282.0,SingularPoint
10588,46.0,279.0,
10959,48.0,279.0,
11202,52.0,278.0,SingularPoint
11583,49.0,281.0,
11810,51.0,282.0,SingularPoint
11949,54.0,284.0,極大風速面
12250,51.0,285.0,
12575,45.0,282.0,
12877,45.0,276.0,SingularPoint
13175,48.0,273.0,
13451,47.0,280.0,SingularPoint
13724,44.0,283.0,
14017,41.0,287.0,
14331,38.0,280.0,
14648,38.0,278.0,SingularPoint
14958,43.0,277.0,
15256,43.0,287.0,SingularPoint
15564,32.0,286.0,SingularPoint
15885,30.0,280.0,
16210,30.0,270.0,SingularPoint
16518,32.0,274.0,SingularPoint
16818,29.0,279.0,
17131,27.0,277.0,SingularPoint
17465,30.0,279.0,SingularPoint
17796,25.0,276.0,SingularPoint
18123,31.0,283.0,
18338,30.0,290.0,SingularPoint
18645,25.0,278.0,SingularPoint
18986,26.0,281.0,
19303,25.0,288.0,
19591,27.0,285.0,
19917,25.0,299.0,SingularPoint
20110,21.0,291.0,SingularPoint
20402,23.0,289.0,SingularPoint
20755,15.0,285.0,
21097,11.0,265.0,SingularPoint
21322,11.0,273.0,SingularPoint
21583,14.0,240.0,SingularPoint
21945,19.0,247.0,SingularPoint
22218,13.0,267.0,
22543,11.0,278.0,SingularPoint
22720,12.0,250.0,SingularPoint
23090,19.0,259.0,
23439,21.0,270.0,SingularPoint
23745,12.0,272.0,SingularPoint
24092,17.0,285.0,
24324,17.0,302.0,SingularPoint
24585,11.0,295.0,SingularPoint
24705,10.0,310.0,
24910,5.0,333.0,
24987,4.0,349.0,SingularPoint
25092,4.0,29.0,SingularPoint
25146,3.0,354.0,
25197,4.0,316.0,SingularPoint
25501,6.0,281.0,SingularPoint
25614,8.0,248.0,SingularPoint
25700,7.0,253.0,SingularPoint
25845,9.0,213.0,SingularPoint
26024,8.0,238.0,
26212,1.0,263.0,SingularPoint
26341,7.0,242.0,SingularPoint
26533,12.0,258.0,SingularPoint
26914,8.0,328.0,
27129,6.0,20.0,SingularPoint
27353,5.0,3.0,SingularPoint
27505,6.0,308.0,SingularPoint
27700,10.0,322.0,SingularPoint
27864,7.0,3.0,SingularPoint
27990,4.0,97.0,SingularPoint
28202,7.0,146.0,SingularPoint
28292,4.0,135.0,
28381,4.0,105.0,SingularPoint
28608,7.0,168.0,SingularPoint
28891,9.0,170.0,SingularPoint
28989,5.0,167.0,SingularPoint
29137,10.0,198.0,SingularPoint
29339,6.0,198.0,SingularPoint
29492,6.0,256.0,
29653,5.0,314.0,
29708,5.0,343.0,SingularPoint
29760,6.0,9.0,SingularPoint
29874,7.0,18.0,SingularPoint
30099,4.0,350.0,
30278,5.0,327.0,SingularPoint
30585,4.0,81.0,SingularPoint
30714,4.0,157.0,SingularPoint
31114,4.0,1.0,SingularPoint
31254,5.0,352.0,SingularPoint
31468,3.0,13.0,SingularPoint
31705,9.0,1.0,SingularPoint
