GeoPotHeight(m),WindSpd(m/s),WindDir(deg),Mark
26,1.3,60.0,SingularPoint
33,0.0,,SingularPoint
116,4.0,83.0,SingularPoint
431,3.0,95.0,
558,3.0,89.0,SingularPoint
784,10.0,66.0,SingularPoint
1106,7.0,60.0,
1277,7.0,57.0,
1466,7.0,41.0,
1602,5.0,39.0,SingularPoint
1927,3.0,13.0,
2266,1.0,355.0,SingularPoint
2602,2.0,59.0,SingularPoint
2944,2.0,287.0,SingularPoint
3013,3.0,267.0,
3152,7.0,234.0,SingularPoint
3481,9.0,242.0,
3700,10.0,248.0,
3976,9.0,247.0,
4173,10.0,246.0,
4516,8.0,259.0,SingularPoint
4715,6.0,235.0,
4904,7.0,216.0,SingularPoint
5189,9.0,221.0,SingularPoint
5344,9.0,204.0,SingularPoint
5519,11.0,221.0,
5692,8.0,245.0,
5797,8.0,261.0,SingularPoint
5880,9.0,245.0,SingularPoint
5983,7.0,270.0,SingularPoint
6259,11.0,245.0,SingularPoint
6371,13.0,261.0,SingularPoint
6701,16.0,256.0,
7025,16.0,247.0,
7126,19.0,254.0,
7445,21.0,251.0,SingularPoint
7785,23.0,257.0,
8149,24.0,253.0,
8509,25.0,255.0,
8849,25.0,263.0,
9153,26.0,261.0,
9501,28.0,257.0,
9843,30.0,258.0,
10097,32.0,256.0,SingularPoint
10451,36.0,252.0,
10820,37.0,254.0,SingularPoint
11177,34.0,258.0,
11492,35.0,253.0,
11742,36.0,255.0,SingularPoint
11895,40.0,254.0,
12004,43.0,252.0,
12119,44.0,255.0,極大風速面
12358,43.0,257.0,
12698,42.0,263.0,
13035,39.0,267.0,
13351,36.0,267.0,
13650,34.0,261.0,
13951,34.0,262.0,SingularPoint
14262,40.0,266.0,SingularPoint
14539,39.0,267.0,
14887,32.0,262.0,SingularPoint
15225,35.0,270.0,
15532,34.0,268.0,
15847,32.0,267.0,SingularPoint
16166,28.0,271.0,
16423,28.0,264.0,SingularPoint
16591,26.0,264.0,
16894,24.0,261.0,
17076,26.0,263.0,
17205,23.0,264.0,
17503,23.0,265.0,
17800,22.0,266.0,SingularPoint
18040,19.0,279.0,SingularPoint
18351,14.0,269.0,SingularPoint
18670,19.0,256.0,SingularPoint
19000,17.0,270.0,
19276,14.0,298.0,SingularPoint
19558,10.0,264.0,SingularPoint
19892,10.0,269.0,
20020,9.0,280.0,SingularPoint
20179,10.0,248.0,SingularPoint
20436,12.0,237.0,SingularPoint
20607,16.0,250.0,SingularPoint
20933,11.0,280.0,SingularPoint
21240,5.0,268.0,SingularPoint
21597,9.0,227.0,SingularPoint
21862,12.0,232.0,
22207,12.0,250.0,
22402,13.0,246.0,SingularPoint
22760,15.0,270.0,SingularPoint
23085,10.0,278.0,
23236,9.0,292.0,SingularPoint
23433,3.0,359.0,
23550,2.0,47.0,SingularPoint
23670,3.0,27.0,SingularPoint
23774,3.0,40.0,SingularPoint
23878,4.0,359.0,SingularPoint
24111,7.0,351.0,SingularPoint
24313,5.0,31.0,
24424,4.0,40.0,SingularPoint
24562,4.0,127.0,SingularPoint
24658,3.0,165.0,
24730,3.0,193.0,SingularPoint
24849,3.0,189.0,SingularPoint
24974,2.0,212.0,SingularPoint
25046,3.0,168.0,SingularPoint
25177,4.0,196.0,SingularPoint
25408,7.0,288.0,SingularPoint
25570,9.0,305.0,
25768,6.0,308.0,SingularPoint
25939,2.0,354.0,SingularPoint
26088,3.0,151.0,SingularPoint
26298,3.0,205.0,SingularPoint
26422,5.0,284.0,SingularPoint
26518,3.0,325.0,SingularPoint
26549,3.0,353.0,SingularPoint
26584,4.0,10.0,SingularPoint
26681,1.0,25.0,SingularPoint
26816,3.0,223.0,SingularPoint
26950,2.0,295.0,SingularPoint
27055,3.0,42.0,SingularPoint
27342,3.0,36.0,SingularPoint
27489,3.0,16.0,
27676,5.0,353.0,
27911,3.0,320.0,SingularPoint
28156,3.0,136.0,SingularPoint
28282,6.0,125.0,
28581,10.0,114.0,SingularPoint
28762,3.0,79.0,SingularPoint
28902,1.0,4.0,SingularPoint
28994,3.0,248.0,SingularPoint
29086,2.0,262.0,SingularPoint
29335,3.0,5.0,SingularPoint
29488,5.0,31.0,SingularPoint
29745,11.0,20.0,SingularPoint
29963,10.0,84.0,SingularPoint
30129,4.0,70.0,
30182,4.0,55.0,SingularPoint
30355,7.0,93.0,SingularPoint
30470,3.0,135.0,SingularPoint
30710,5.0,224.0,SingularPoint
30773,3.0,233.0,SingularPoint
30898,4.0,171.0,SingularPoint
31228,7.0,117.0,
31294,4.0,118.0,SingularPoint
31500,7.0,183.0,SingularPoint
31646,1.0,206.0,SingularPoint
31792,3.0,10.0,SingularPoint
31941,3.0,33.0,SingularPoint
32019,4.0,65.0,SingularPoint
32171,6.0,34.0,SingularPoint
32492,5.0,76.0,SingularPoint
32698,4.0,194.0,SingularPoint
