Height(m),Temp(C),RH(%),WindSpd(m/s),WindDir(deg),GeoPotHeight(m)
26.0,8.4,74.0,0.6,230.0,
,12.2,51.0,6.0,235.0,118.0
,10.3,32.0,6.0,291.0,769.0
,8.2,32.0,5.0,283.0,996.0
,4.3,34.0,9.0,274.0,1462.0
,0.5,36.0,15.0,281.0,1953.0
,-6.3,34.0,31.0,307.0,3006.0
,-9.6,16.0,33.0,304.0,4200.0
,-18.9,13.0,31.0,294.0,5586.0
,-31.9,12.0,30.0,290.0,7202.0
,-40.1,,34.0,287.0,8129.0
,-48.8,,33.0,288.0,9161.0
,-58.0,,38.0,288.0,10335.0
,-50.4,,44.0,276.0,11761.0
,-50.6,,51.0,281.0,12630.0
,-51.0,,54.0,281.0,13631.0
,-55.8,,48.0,274.0,14809.0
,-58.3,,43.0,270.0,16212.0
,-61.4,,31.0,282.0,18445.0
,-60.3,,14.0,274.0,20540.0
,-56.8,,8.0,295.0,21949.0
,-54.0,,2.0,271.0,23777.0
,-54.2,,3.0,276.0,26369.0
,-49.8,,5.0,38.0,28222.0
,,,,,
,,,,,
