Height(m),Temp(C),RH(%),WindSpd(m/s),WindDir(deg),GeoPotHeight(m)
26.0,6.9,38.0,2.5,320.0,
,7.1,33.0,4.0,312.0,131.0
,1.3,42.0,10.0,320.0,767.0
,-0.5,44.0,13.0,313.0,986.0
,-1.8,38.0,17.0,292.0,1441.0
,-5.2,40.0,16.0,274.0,1920.0
,-12.3,12.0,18.0,281.0,2954.0
,-18.1,33.0,25.0,283.0,4121.0
,-27.5,29.0,26.0,275.0,5457.0
,-40.0,14.0,31.0,277.0,7020.0
,-43.8,,37.0,275.0,7924.0
,-47.9,,49.0,279.0,8950.0
,-50.4,,48.0,278.0,10148.0
,-47.2,,49.0,273.0,11599.0
,-47.8,,49.0,266.0,12484.0
,-50.3,,47.0,257.0,13492.0
,-52.8,,46.0,262.0,14673.0
,-52.0,,41.0,273.0,16122.0
,-56.6,,13.0,259.0,18404.0
,-56.3,,24.0,253.0,20499.0
,-56.5,,13.0,264.0,21910.0
,-56.2,,10.0,246.0,23738.0
,-53.9,,3.0,206.0,26318.0
,-52.4,,3.0,46.0,28181.0
,-48.0,,6.0,119.0,30833.0
,,,,,
