GeoPotHeight(m),WindSpd(m/s),WindDir(deg),Mark
26,0.7,120.0,SingularPoint
28,0.0,,SingularPoint
327,4.0,29.0,SingularPoint
644,3.0,23.0,
825,3.0,28.0,SingularPoint
1180,5.0,337.0,
1471,4.0,295.0,
1747,6.0,257.0,SingularPoint
2119,14.0,291.0,SingularPoint
2496,21.0,297.0,SingularPoint
2867,19.0,276.0,SingularPoint
3222,21.0,281.0,
3543,21.0,285.0,
3852,23.0,281.0,
4133,27.0,278.0,SingularPoint
4436,35.0,268.0,SingularPoint
4781,37.0,264.0,
5120,39.0,257.0,
5451,40.0,255.0,
5785,38.0,253.0,SingularPoint
6135,38.0,249.0,
6499,39.0,252.0,
6879,37.0,252.0,
7280,40.0,257.0,SingularPoint
7678,43.0,260.0,
8065,45.0,261.0,
8455,49.0,258.0,
8839,50.0,257.0,
9205,51.0,259.0,
9572,54.0,259.0,SingularPoint
9948,53.0,257.0,
10334,55.0,259.0,
10720,56.0,265.0,
11100,57.0,264.0,
11481,57.0,258.0,
11858,59.0,252.0,
12213,59.0,253.0,
12551,60.0,258.0,
12896,60.0,258.0,
13261,61.0,258.0,極大風速面
13639,60.0,254.0,
14004,59.0,253.0,
14351,56.0,256.0,
14679,56.0,252.0,
14979,57.0,251.0,SingularPoint
15270,52.0,255.0,
15575,44.0,267.0,
15909,39.0,269.0,SingularPoint
16244,29.0,257.0,SingularPoint
16629,28.0,259.0,
17074,25.0,249.0,SingularPoint
17514,28.0,245.0,
17865,29.0,241.0,SingularPoint
18157,30.0,259.0,SingularPoint
18463,23.0,273.0,SingularPoint
18769,12.0,249.0,SingularPoint
19093,15.0,234.0,
19451,16.0,236.0,SingularPoint
19798,14.0,238.0,
20141,8.0,238.0,
20439,6.0,247.0,SingularPoint
20799,5.0,271.0,SingularPoint
21164,7.0,268.0,SingularPoint
21546,2.0,315.0,SingularPoint
21883,3.0,136.0,SingularPoint
22237,3.0,219.0,SingularPoint
22448,1.0,247.0,SingularPoint
22721,3.0,354.0,SingularPoint
22928,0.0,,SingularPoint
23202,3.0,78.0,SingularPoint
23448,5.0,80.0,SingularPoint
23810,4.0,123.0,
24193,2.0,169.0,SingularPoint
24578,2.0,173.0,SingularPoint
24966,2.0,147.0,SingularPoint
25351,2.0,66.0,SingularPoint
25619,3.0,38.0,SingularPoint
26023,6.0,36.0,
26395,6.0,32.0,SingularPoint
