Height(m),Temp(C),RH(%),WindSpd(m/s),WindDir(deg),GeoPotHeight(m)
26.0,6.5,96.0,0.1,,
,11.7,49.0,4.0,81.0,239.0
,6.4,69.0,2.0,302.0,885.0
,4.6,68.0,4.0,298.0,1110.0
,3.9,40.0,4.0,298.0,1576.0
,2.1,53.0,12.0,259.0,2067.0
,-0.6,1.0,11.0,274.0,3137.0
,-8.1,8.0,16.0,277.0,4351.0
,-18.5,20.0,22.0,287.0,5735.0
,-29.7,12.0,25.0,295.0,7365.0
,-37.2,20.0,29.0,288.0,8302.0
,-44.9,,32.0,285.0,9349.0
,-50.2,,46.0,278.0,10548.0
,-56.5,,53.0,284.0,11982.0
,-59.1,,45.0,277.0,12826.0
,-58.2,,44.0,285.0,13795.0
,-62.6,,42.0,277.0,14933.0
,-64.3,,30.0,267.0,16306.0
,-64.0,,27.0,290.0,18485.0
,-59.1,,18.0,292.0,20560.0
,-60.2,,19.0,250.0,21966.0
,-54.8,,13.0,278.0,23789.0
,-51.0,,9.0,246.0,26408.0
,-47.8,,4.0,135.0,28292.0
,-41.3,,2.0,26.0,30980.0
,,,,,
