GeoPotHeight(m),Temp(C),RH(%),Mark
26,16.5,100.0,SingularPoint
28,16.7,91.0,SingularPoint
30,17.0,82.0,
38,18.1,76.0,SingularPoint
39,19.7,75.0,
40,20.2,76.0,SingularPoint
165,19.8,65.0,
213,19.5,60.0,
327,18.4,61.0,
623,16.1,54.0,
756,14.7,62.0,
825,14.1,61.0,SingularPoint
1362,10.0,63.0,
1518,9.2,68.0,
1883,6.2,76.0,
1945,6.6,68.0,SingularPoint
2038,6.2,60.0,
2112,5.7,57.0,SingularPoint
2157,6.1,45.0,
2271,6.4,26.0,
2359,7.1,12.0,SingularPoint
2626,6.1,8.0,
2725,5.7,10.0,
2892,4.7,19.0,
2989,3.9,33.0,SingularPoint
3154,3.2,18.0,SingularPoint
3523,3.0,4.0,SingularPoint
3949,0.4,5.0,SingularPoint
4082,0.4,4.0,
4184,1.2,4.0,
4287,2.6,5.0,
4361,3.3,5.0,SingularPoint
4633,2.6,5.0,
5086,-0.6,13.0,
5297,-1.8,11.0,SingularPoint
6064,-7.5,10.0,
6153,-7.8,10.0,
6332,-8.9,7.0,
6814,-12.5,7.0,
7025,-13.3,5.0,
7113,-13.5,6.0,
7461,-16.6,13.0,
7639,-17.4,12.0,SingularPoint
8129,-21.9,17.0,
8390,-22.7,7.0,SingularPoint
8597,-23.3,10.0,
8706,-24.0,10.0,
8877,-24.8,14.0,
9320,-28.1,24.0,SingularPoint
9715,-31.5,33.0,
10259,-36.8,57.0,
10528,-39.1,61.0,
10658,-40.0,55.0,SingularPoint
11247,-44.8,,
11443,-45.1,,
12028,-48.4,,
13670,-58.8,,
14248,-62.6,,
14979,-67.2,,
15192,-67.8,,圏界面
15270,-65.3,,
15563,-63.5,,SingularPoint
15916,-64.3,,
16347,-65.5,,SingularPoint
16763,-68.8,,
16920,-68.3,,
17389,-72.0,,圏界面
17740,-69.7,,
17902,-69.5,,
18085,-67.1,,
18299,-65.9,,
18373,-64.4,,
18724,-62.0,,SingularPoint
19020,-63.8,,
19123,-62.9,,
19350,-63.8,,
19522,-62.8,,
19662,-62.2,,SingularPoint
19829,-61.4,,
20067,-61.5,,
20301,-60.9,,
20590,-59.5,,
21083,-59.3,,
21589,-59.4,,
22173,-56.4,,
23871,-55.2,,SingularPoint
25760,-50.6,,
26395,-48.0,,SingularPoint
