Height(m),Temp(C),RH(%),WindSpd(m/s),WindDir(deg),GeoPotHeight(m)
26.0,16.5,100.0,0.7,120.0,
,16.7,91.0,0.0,,28.0
,15.4,54.0,3.0,27.0,696.0
,13.4,59.0,3.0,4.0,926.0
,9.7,64.0,4.0,314.0,1404.0
,6.6,71.0,9.0,272.0,1904.0
,3.9,32.0,19.0,271.0,2993.0
,1.9,4.0,31.0,274.0,4237.0
,-4.8,11.0,39.0,255.0,5695.0
,-16.4,10.0,42.0,258.0,7412.0
,-22.7,7.0,48.0,258.0,8401.0
,-29.6,28.0,53.0,259.0,9520.0
,-41.2,,56.0,265.0,10787.0
,-50.1,,59.0,254.0,12270.0
,-55.4,,61.0,258.0,13134.0
,-61.2,,59.0,253.0,14101.0
,-67.4,,53.0,253.0,15212.0
,-67.7,,28.0,257.0,16575.0
,-62.0,,13.0,255.0,18715.0
,-60.1,,5.0,272.0,20785.0
,-56.3,,3.0,210.0,22190.0
,-54.3,,2.0,151.0,24022.0
,,,,,
,,,,,
,,,,,
,,,,,
