GeoPotHeight(m),Temp(C),RH(%),Mark
26,12.5,93.0,SingularPoint
33,13.0,87.0,SingularPoint
64,15.5,65.0,
84,17.2,63.0,SingularPoint
158,17.6,66.0,SingularPoint
525,14.9,66.0,SingularPoint
657,14.9,45.0,SingularPoint
745,14.5,52.0,
854,13.5,63.0,
1054,12.5,57.0,SingularPoint
1127,12.3,46.0,
1227,11.2,54.0,
1271,10.8,57.0,
1356,10.2,51.0,
1483,9.1,50.0,
1618,8.3,39.0,
1927,5.7,48.0,
2044,5.6,36.0,
2141,4.9,37.0,SingularPoint
2192,4.3,57.0,
2249,4.0,52.0,SingularPoint
2300,3.8,50.0,
2334,3.5,53.0,
2369,3.5,49.0,
2425,2.8,63.0,
2569,1.8,60.0,SingularPoint
2680,1.4,38.0,SingularPoint
2834,0.4,49.0,
2956,-0.2,36.0,SingularPoint
3158,-1.3,22.0,
3250,-1.2,18.0,SingularPoint
3613,-2.2,14.0,
3849,-4.0,21.0,SingularPoint
4709,-11.6,40.0,
5054,-14.7,39.0,
5287,-16.7,47.0,SingularPoint
5530,-19.0,69.0,
5592,-19.4,84.0,
5719,-19.8,82.0,SingularPoint
5836,-20.7,83.0,
6118,-22.9,87.0,SingularPoint
6168,-23.2,66.0,
6213,-23.3,46.0,SingularPoint
6348,-23.7,17.0,SingularPoint
7098,-28.8,9.0,
7928,-33.7,7.0,
8440,-37.4,15.0,SingularPoint
8779,-40.0,15.0,SingularPoint
8985,-41.2,,SingularPoint
10529,-46.3,,
11008,-47.7,,
11657,-48.5,,
12108,-49.2,,
12432,-50.7,,
12557,-50.7,,
13075,-52.9,,
13564,-53.1,,
14152,-54.8,,
14338,-55.4,,SingularPoint
14710,-57.0,,
15136,-58.2,,
15322,-58.5,,
15976,-60.8,,SingularPoint
16737,-64.4,,圏界面
17325,-63.7,,
18722,-63.5,,
18989,-62.2,,SingularPoint
19216,-59.7,,
19848,-59.6,,
20065,-59.5,,SingularPoint
20522,-60.3,,
20680,-58.9,,SingularPoint
21040,-55.8,,
21352,-55.7,,SingularPoint
22139,-56.2,,
22922,-54.8,,
23414,-52.5,,SingularPoint
24005,-54.3,,
24356,-54.6,,
24974,-54.8,,
25384,-54.7,,
25796,-53.1,,SingularPoint
26422,-52.9,,
27342,-50.9,,
29138,-51.0,,SingularPoint
29436,-48.2,,SingularPoint
30129,-52.4,,圏界面
30587,-51.0,,
31031,-48.4,,
31941,-45.9,,SingularPoint
32698,-47.6,,SingularPoint
