month,maxTemp,minTemp,meanTemp,rainfall
1,35.7,19.2,,3.2
2,38.0,22.9,,10.4
3,38.6,25.8,,33.2
4,36.9,26.0,,86.8
5,34.5,24.8,,123.2
6,31.9,23.3,,147.7
7,30.5,22.9,,171.4
8,30.1,22.7,,199.7
9,31.1,22.5,,213.4
10,33.7,22.7,,90.1
11,36.2,21.4,,8.1
12,35.8,19.0,,3.5
