,Precipitation,Temperature
January,54.8,1.2
February,46.0,3.0
March,55.3,7.5
April,59.6,12.5
May,83.2,17.3
June,87.1,21.3
July,69.1,23.0
August,56.9,22.6
September,62.9,17.3
October,65.0,12.2
November,60.2,7.1
December,58.8,2.2
