month,maxTemp,minTemp,meanTemp,rainfall
1,-1.8,-13.8,,17.6
2,1.5,-10.7,,11.6
3,6.0,-6.5,,24.0
4,12.9,-0.9,,31.3
5,18.2,4.2,,53.5
6,22.3,8.6,,63.0
7,25.5,10.5,,47.5
8,25.4,10.0,,45.8
9,20.1,5.1,,39.6
10,14.0,0.0,,18.9
11,4.3,-7.2,,16.9
12,-0.2,-12.0,,16.7
