month,maxTemp,minTemp,meanTemp,rainfall
1,19.2,3.9,,28.3
2,21.9,6.3,,29.2
3,26.9,11.0,,34.8
4,33.9,16.2,,19.3
5,38.8,21.2,,19.6
6,39.8,24.9,,51.7
7,35.3,25.6,,224.7
8,34.3,25.2,,174.5
9,34.4,22.7,,94.6
10,32.3,15.7,,21.3
11,27.0,8.6,,5.7
12,21.3,4.3,,14.6
