month,maxTemp,minTemp,meanTemp,rainfall
1,28.2,19.8,,52.0
2,28.6,20.2,,38.0
3,29.1,20.3,,35.0
4,29.9,21.7,,32.0
5,30.7,22.8,,151.0
6,31.6,23.7,,158.0
7,32.2,23.6,,147.0
8,32.2,23.6,,150.0
9,31.7,23.8,,222.0
10,31.0,23.2,,219.0
11,29.6,22.2,,154.0
12,28.6,21.2,,71.0
