region,country,place,latitude,longitude,altitude,koppen
Region-1,Ghana,Axim,4.866666666666667,-2.2333333333333334,"37.8
",Am
Region-1,Ghana,Bole,9.033333333333331,-2.4833333333333334,"299.5
",Aw
Region-1,Ghana,Ho,6.6,0.4666666666666667,"157.6
",Aw
Region-1,Ghana,KeteKrachi,7.816666666666666,-0.0333333333333333,"122
",Aw
Region-1,Ghana,Koforidua,6.083333333333333,-0.25,"166.5
",Aw
Region-1,Ghana,Kumasi,6.716666666666667,-1.6,"286.3
",Aw
Region-1,Ghana,Navrongo,10.9,-1.1,"213.4
",Aw
Region-1,Ghana,Saltpond,5.2,-1.0666666666666669,"439
",Aw
Region-1,Ghana,SefwiBekwai,6.2,-2.3333333333333335,"170.8
",Aw
Region-1,Ghana,Sunyani,7.404999999999999,-2.3949999999999996,"303
",Aw
Region-1,Ghana,Takoradi,4.883333333333333,-1.7666666666666666,"10
",Aw
Region-1,Ghana,Tema,5.616666666666667,0.0,"14
",BSh
Region-1,Ghana,Wa,10.05,-2.5,"322.7
",Aw
Region-1,Guinea,BOKE,10.933333333333334,-14.316666666666666,69,Aw
Region-1,Guinea,CONAKRY,9.566666666666666,-13.616666666666667,26,Am
Region-1,Guinea,KANKAN,10.383333333333333,-9.3,377,Aw
Region-1,Guinea,KINDIA,10.05,-12.866666666666667,458,Aw
Region-1,Guinea,KOUNDARA,12.566666666666666,-13.516666666666667,Â ,Aw
Region-1,Guinea,LABE,11.316666666666666,-12.3,1025,Aw
Region-1,Guinea,NZEREKORE,7.75,-8.783333333333333,520,Aw
Region-1,GuineaBissau,BAFATA,12.166666666666666,-14.666666666666666,42,Aw
Region-1,GuineaBissau,BISSAUAEROPORTO,11.883333333333333,-15.65,39,Aw
Region-1,GuineaBissau,BOLAMA,11.583333333333334,-15.483333333333333,18,Aw
Region-1,Libya,BENINA,32.083333333333336,20.266666666666666,32,BSh
Region-1,Libya,GHADAMES,30.133333333333333,9.5,357,BWh
Region-1,Libya,GHAT,25.133333333333333,10.133333333333333,692,BWh
Region-1,Libya,HON,24.133333333333333,15.45,267,BWh
Region-1,Libya,JALO,29.033333333333335,12.566666666666666,60,BWh
Region-1,Libya,MISURATA,32.31666666666667,15.05,32,BSh
Region-1,Libya,NALUT,31.866666666666667,10.983333333333333,621,BWh
Region-1,Libya,SIRTE,31.2,16.583333333333332,13,BWh
Region-1,Libya,TOBRUK,32.1,23.933333333333337,50,BWh
Region-1,Libya,YEFREN,32.083333333333336,12.55,691,BSh
Region-1,Libya,ZUARA,32.88333333333333,12.083333333333334,3,BWh
Region-1,Madagascar,AMBOHITSILAOZANA,-17.633333333333333,48.5,782.100000,Cwa
Region-1,Madagascar,ANTALAHA,-14.883333333333333,50.25,87.000000,Af
Region-1,Madagascar,ANTANANARIVO,-18.866666666666667,47.5,1310.000000,Cwa
Region-1,Madagascar,ANTSIRABE,-19.816666666666663,47.06666666666667,1523.000000,Cwb
Region-1,Madagascar,ANTSIRANANA,-12.35,49.3,114.000000,Aw
Region-1,Madagascar,ANTSOHIHY,-14.883333333333333,47.983333333333334,23.000000,Aw
Region-1,Madagascar,BESALAMPY,-16.75,44.483333333333334,38.000000,Aw
Region-1,Madagascar,FARAFANGANA,-22.8,47.833333333333336,8.000000,Af
Region-1,Madagascar,FIANARANTSOA,-21.45,47.1,1115.000000,Cwa
Region-1,Madagascar,IVATO,-18.8,47.483333333333334,1279.000000,Cwa
Region-1,Madagascar,MAHAJANGA,-15.666666666666666,46.35,26.000000,Aw
Region-1,Madagascar,MAHANORO,-19.833333333333332,48.8,5.000000,Af
Region-1,Madagascar,MAINTIRANO,-18.05,44.03333333333333,23.000000,Aw
Region-1,Madagascar,MANANJARY,-21.2,48.36666666666667,5.000000,Af
Region-1,Madagascar,MOROMBE,-21.75,43.41,5.000000,BSh
Region-1,Madagascar,MORONDAVA,-20.283333333333335,44.31666666666667,7.000000,BSh
Region-1,Madagascar,NOSYBE,-13.316666666666666,48.31666666666667,10.000000,Aw
Region-1,Madagascar,RANOHIRA,-22.55,45.4,824.000000,Cwa
Region-1,Madagascar,SAINTEMARIE,-17.083333333333332,49.81666666666667,2.000000,Af
Region-1,Madagascar,SAMBAVA,-14.283333333333331,50.166666666666664,5.000000,Af
Region-1,Madagascar,TAOLAGNARO,-25.033333333333335,46.95,8.000000,Am
Region-1,Madagascar,TOAMASINA,-18.116666666666667,49.4,5.000000,Af
Region-1,Madagascar,TOLIARA,-23.383333333333333,43.733333333333334,8.000000,BWh
Region-1,Mali,BamakoSenou,12.5,-7.95,"380
",Aw
Region-1,Mali,Bougouni,11.4,-7.5,"350
",Aw
Region-1,Mali,Kayes,14.4,-11.4,"47
",BSh
Region-1,Mali,Kenieba,12.9,-11.2,"132
",Aw
Region-1,Mali,Kita,13.1,-9.5,"333
",Aw
Region-1,Mali,Koutiala,12.4,-5.5,"365
",Aw
Region-1,Mali,Mopti,14.5,-4.1,"276
",BSh
Region-1,Mali,NIORORDUSAHELE,15.2,-9.4,"235
",BSh
Region-1,Mali,Nara,15.2,-7.3,"271
",BWh
Region-1,Mali,San,13.3,-4.8,"283
",BWh
Region-1,Mali,Segou,13.4,-6.2,"288
",BSh
Region-1,Mali,Sikasso,11.4,-5.7,"374
",Aw
Region-1,Mauritius,Agalega,-10.438333333333334,56.656666666666666,3,Am
Region-1,Mauritius,Plaisance,-20.441666666666663,57.68333333333333,50,Am
Region-1,Mauritius,Pointe_Canon,-19.753333333333337,63.474999999999994,62,Aw
Region-1,Mauritius,St_Brandon,-16.45,59.61666666666667,3.65,Aw
Region-1,Mauritius,Vacoas,-20.368333333333336,57.55166666666667,423,Af
Region-1,Morocco,AGADIRINEZGANNE,30.443333333333335,-9.606666666666667,23,BSh
Region-1,Morocco,ALHOUCEIMA,35.24333333333333,-3.875,12,BSh
Region-1,Morocco,BOUARFA,32.525,-2.0466666666666664,1142,BWh
Region-1,Morocco,CASABLANCAANFA,33.605,-7.668333333333334,56,Csa
Region-1,Morocco,DAKHLA,23.716666666666665,-15.933333333333334,11,BWh
Region-1,Morocco,ERRACHIDIA,32.013333333333335,-4.433333333333334,1037,BWh
Region-1,Morocco,ESSAOUIRA,31.558333333333337,-9.803333333333336,7,BSk
Region-1,Morocco,FESSAIS,33.96666666666667,-4.983333333333333,571,Csa
Region-1,Morocco,GUELMIM,29.09,-10.121666666666666,300,BWh
Region-1,Morocco,IFRANE,33.50833333333333,-5.216666666666667,1663,Csa
Region-1,Morocco,KENITRA,34.3,-6.6,5,Csa
Region-1,Morocco,LAAYOUNE,27.22,-13.295,64,BWh
Region-1,Morocco,LARACHE,35.22666666666667,-6.116666666666666,47,Csa
Region-1,Morocco,MARRAKECH,31.666666666666668,-8.088333333333335,464,BSh
Region-1,Morocco,MEKNES,33.94166666666667,-5.54,548,Csa
Region-1,Morocco,MIDELT,32.72333333333333,-4.783333333333333,1508,BWk
Region-1,Morocco,OUARZAZATE,30.951666666666668,-6.958333333333334,1136,BWh
Region-1,Morocco,OUJDA,34.785,-1.965,465,BSk
Region-1,Morocco,RABATSALE,34.05,-6.766666666666667,75,Csa
Region-1,Morocco,SAFI,32.321666666666665,-9.258333333333333,43,BSh
Region-1,Morocco,SMARA,26.75,-11.683333333333334,110,BWh
Region-1,Morocco,TANTAN,28.513333333333332,-11.2,45,BWh
Region-1,Morocco,TAZA,34.21666666666667,-4.0,509,Csa
Region-1,Morocco,TETOUAN,35.64,-5.406666666666666,5,Csa
Region-1,Niger,Agadez_Aero,16.966666666666665,7.983333333333333,501,BWh
Region-1,Niger,Bilma,18.683333333333337,12.916666666666666,355,BWh
Region-1,Niger,Birni_NKonni,13.8,5.283333333333333,272,BSh
Region-1,Niger,Diffa,13.416666666666666,12.783333333333331,300,BWh
Region-1,Niger,Dosso,13.016666666666667,3.183333333333333,227,BSh
Region-1,Niger,Gaya,11.883333333333333,3.45,202,BSh
Region-1,Niger,Goure,13.966666666666669,10.266666666666667,443,BWh
Region-1,Niger,Magaria,12.983333333333333,8.983333333333333,402,BSh
Region-1,Niger,Maine_Soroa,13.233333333333333,11.983333333333333,338,BWh
Region-1,Niger,Maradi_Aero,13.466666666666669,7.083333333333333,372,BSh
Region-1,Niger,NGuigmi,14.25,13.116666666666667,287,BWh
