,Precipitation,Temperature
January,32.5,0.3
February,27.6,1.0
March,38.6,4.3
April,32.3,8.8
May,56.8,13.0
June,67.7,16.3
July,80.5,18.5
August,67.4,18.3
September,60.1,13.9
October,43.8,9.2
November,45.7,4.5
December,39.9,1.3
