,Precipitation,Temperature
January,45.3,0.7
February,36.1,1.6
March,39.3,4.7
April,29.2,9.9
May,53.3,14.2
June,60.8,17.4
July,76.2,19.4
August,59.2,18.9
September,47.1,14.6
October,42.8,9.6
November,42.3,4.8
December,46.1,1.7
