,Precipitation,Temperature
January,43.8,-0.3
February,35.2,0.8
March,47.9,4.7
April,46.4,9.4
May,83.2,13.8
June,97.8,17.2
July,101.4,18.8
August,85.2,18.4
September,62.5,13.7
October,56.2,9.1
November,46.8,4.0
December,48.5,0.8
