month,maxTemp,minTemp,meanTemp,rainfall
1,6.7,1.4,,73.2
2,7.1,1.1,,51.4
3,9.8,2.9,,55.8
4,12.7,4.2,,61.9
5,16.0,7.1,,61.3
6,19.0,10.0,,65.6
7,21.3,12.1,,63.8
8,20.8,11.8,,66.7
9,17.8,9.7,,68.1
10,13.6,6.8,,82.7
11,9.5,3.8,,74.8
12,6.9,1.6,,79.7
