,Precipitation,Temperature
January,55.0,1.3
February,45.3,2.1
March,46.3,5.6
April,38.1,9.7
May,78.9,13.6
June,56.9,17.4
July,77.1,19.2
August,79.9,18.4
September,51.6,14.2
October,66.4,9.9
November,55.6,5.4
December,61.6,2.2
