month,maxTemp,minTemp,meanTemp,rainfall
1,11.41,-3.91,,5.69
2,12.98,-1.04,,10.15
3,15.37,2.16,,34.8
4,17.5,5.95,,64.88
5,19.66,9.49,,93.97
6,21.96,12.99,,95.87
7,22.69,14.42,,152.59
8,22.73,14.23,,138.35
9,21.63,12.48,,86.96
10,18.76,6.95,,55.21
11,15.58,1.16,,6.71
12,12.9,-2.92,,2.86
