,Precipitation,Temperature
January,46.9,-8.2
February,31.8,-7.8
March,28.9,-3.0
April,32.0,2.5
May,40.3,8.3
June,55.9,13.2
July,86.2,16.0
August,82.0,14.1
September,58.6,9.2
October,60.9,2.9
November,52.2,-2.4
December,55.2,-6.6
