,Precipitation,Temperature
January,39.0,1.0
February,34.4,0.8
March,27.3,2.6
April,26.9,6.4
May,37.4,11.3
June,48.5,15.4
July,55.2,18.0
August,55.9,18.0
September,46.5,14.3
October,52.6,9.7
November,50.5,5.7
December,48.7,2.6
