,Precipitation,Temperature
January,28.1,-11.8
February,21.4,-11.2
March,24.9,-6.0
April,25.1,0.2
May,35.9,6.6
June,55.4,12.3
July,70.9,15.2
August,57.7,12.7
September,51.3,7.4
October,43.6,0.5
November,39.9,-5.4
December,32.3,-9.3
