,Precipitation,Temperature
January,48.9,-6.2
February,31.5,-5.6
March,32.0,-1.9
April,38.1,3.4
May,58.7,8.9
June,74.1,12.9
July,83.7,15.4
August,87.3,13.7
September,57.5,9.2
October,68.4,3.7
November,57.5,-0.8
December,49.5,-5.1
