,Precipitation,Temperature
January,44.1,-3.2
February,36.3,-4.7
March,33.3,-2.3
April,29.2,1.4
May,38.2,5.9
June,43.2,11.3
July,50.3,15.6
August,59.7,15.4
September,51.2,11.2
October,60.5,5.8
November,60.2,1.9
December,55.6,-0.7
