,Precipitation,Temperature
January,35.6,1.8
February,26.2,1.4
March,28.0,3.1
April,27.4,6.8
May,37.0,11.5
June,49.8,15.3
July,53.5,17.9
August,72.6,18.0
September,52.7,14.7
October,48.4,10.3
November,45.1,6.3
December,42.5,3.4
