,Precipitation,Temperature
January,40.4,-1.3
February,34.8,-1.5
March,30.5,1.1
April,35.1,5.9
May,49.9,10.9
June,74.0,14.6
July,76.2,17.1
August,77.4,16.2
September,58.3,12.0
October,59.9,7.1
November,49.5,3.0
December,49.3,0.1
