,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day6-18_x,WeaCon-night18-n6_x
1978-01-01,1000.2,1003.9,7.5,4.0,1.5,7.4,10.3,4.6,98,74,1.6,3.5,315.0,5.7,45.0,,,,,
1978-01-02,1013.2,1017.0,,,,2.9,6.5,-1.9,71,51,2.0,5.9,45.0,9.3,45.0,0.7,14.0,,,
1978-01-03,1008.3,1012.1,7.5,-999.0,-999.0,-0.9,3.5,-4.8,92,63,2.7,6.0,315.0,8.6,45.0,3.4,0.0,14.0,,
1978-01-04,1009.5,1013.3,,,,-1.2,6.2,-7.5,79,45,1.5,3.3,292.5,3.6,292.5,8.6,,9.0,,
1978-01-05,1003.4,1007.2,,,,0.2,8.7,-6.1,66,32,1.5,3.0,225.0,4.9,270.0,8.4,,0.0,,
1978-01-06,1009.3,1013.1,,,,3.2,11.1,-4.6,61,35,2.3,4.5,270.0,6.8,270.0,8.5,,,,
1978-01-07,1011.6,1015.4,,,,3.7,14.4,-4.0,69,34,2.3,7.6,292.5,13.7,292.5,8.4,,,,
1978-01-08,1010.5,1014.3,,,,2.0,8.1,-2.0,81,64,1.2,2.7,247.5,3.7,90.0,1.2,,,,
1978-01-09,1000.9,1004.7,,,,4.3,13.1,-4.2,66,31,2.6,8.7,292.5,13.5,292.5,8.5,,,,
1978-01-10,1004.5,1008.3,,,,1.5,7.6,-4.4,51,25,5.7,12.7,292.5,18.7,292.5,6.2,,,,
1978-01-11,1014.5,1018.3,,,,0.9,10.3,-7.4,60,29,1.5,5.4,292.5,7.8,292.5,8.5,,,,
1978-01-12,1008.6,1012.4,,,,4.8,14.4,-4.4,58,29,3.7,10.1,292.5,14.4,292.5,8.7,,,,
1978-01-13,1012.5,1016.3,0.0,0.0,0.0,2.8,9.4,-4.8,69,47,1.6,3.9,337.5,5.0,22.5,1.8,,,,
1978-01-14,1010.1,1013.8,3.5,1.5,0.5,5.1,13.0,0.3,80,49,1.5,4.1,315.0,5.3,315.0,5.2,,,,
1978-01-15,1007.8,1011.5,,,,6.2,15.2,-2.4,76,34,1.9,4.2,180.0,6.3,180.0,7.2,,,,
1978-01-16,1008.5,1012.3,,,,1.4,9.3,-4.8,66,45,1.3,5.9,315.0,8.3,315.0,,,,,
1978-01-17,1015.1,1019.0,,,,0.0,6.6,-4.7,59,33,1.1,3.5,45.0,4.7,22.5,6.7,1.0,,,
1978-01-18,1010.8,1014.6,7.0,1.5,0.5,-0.6,1.0,-3.3,91,56,2.6,5.4,292.5,7.9,315.0,,0.0,1.0,,
1978-01-19,1002.9,1006.7,,,,1.6,10.2,-4.3,71,34,2.0,7.1,315.0,10.0,315.0,7.0,,0.0,,
1978-01-20,1008.2,1012.0,,,,2.3,9.4,-5.8,64,35,1.6,3.8,45.0,5.7,45.0,8.7,,,,
1978-01-21,999.0,1002.7,0.0,0.0,0.0,2.9,8.1,-1.9,72,39,2.1,8.4,270.0,11.6,292.5,1.2,,,,
1978-01-22,1000.5,1004.3,,,,2.2,7.3,-3.9,47,31,6.2,12.3,292.5,20.1,292.5,9.0,,,,
1978-01-23,1010.8,1014.6,,,,2.9,9.7,-4.3,45,26,5.8,11.3,292.5,17.6,292.5,-999.0,,,,
1978-01-24,1006.5,1010.3,,,,1.2,7.1,-6.5,72,44,-999.0,4.9,337.5,7.6,337.5,0.3,,,,
1978-01-25,1009.8,1013.6,,,,2.2,7.5,-3.0,43,25,-999.0,-999.0,,-999.0,,9.1,,,,
1978-01-26,1013.0,1016.9,,,,0.0,3.6,-6.5,61,44,1.3,3.0,337.5,3.8,292.5,1.0,,,,
1978-01-27,1002.5,1006.2,1.0,1.0,0.5,4.4,14.4,-0.8,76,35,3.1,9.0,270.0,13.7,270.0,8.8,,,,
1978-01-28,1010.6,1014.4,,,,1.6,7.8,-3.3,61,28,2.4,8.3,292.5,12.3,292.5,3.7,,,,
1978-01-29,1012.6,1016.4,,,,-1.5,3.8,-5.6,55,35,0.8,2.9,45.0,4.3,45.0,1.7,0.0,,,
1978-01-30,1006.6,1010.4,0.0,0.0,0.0,-1.4,5.5,-7.2,77,59,1.1,3.0,337.5,3.8,90.0,3.2,0.0,0.0,,
1978-01-31,1003.5,1007.2,,,,0.7,8.5,-7.4,61,28,3.1,8.0,292.5,12.6,292.5,8.8,,,,
