,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day830-17_x,xxx
1996-12-01,1000.0,1003.8,,,,2.9,10.5,-3.3,68,31,2.3,5.8,270.0,11.8,292.5,9.1,,,,
1996-12-02,1013.6,1017.4,,,,3.6,10.3,-2.8,56,31,2.8,7.6,292.5,15.1,292.5,9.4,,,,
1996-12-03,1022.8,1026.6,,,,3.0,11.0,-3.6,68,36,1.5,3.7,0.0,6.2,0.0,9.4,,,,
1996-12-04,1020.9,1024.7,,,,3.8,12.0,-3.2,75,39,1.4,3.0,315.0,4.9,292.5,7.0,,,,
1996-12-05,1000.2,1003.9,12.0,5.0,1.5,10.9,17.6,4.4,91,77,3.3,9.6,202.5,20.1,202.5,,,,,
1996-12-06,1000.7,1004.4,0.5,0.5,0.5,8.5,11.4,3.0,68,36,2.1,4.6,337.5,9.8,45.0,1.0,,,,
1996-12-07,1008.4,1012.2,,,,4.6,10.6,-0.2,66,36,1.7,3.5,292.5,5.9,225.0,7.2,,,,
1996-12-08,1014.3,1018.1,,,,3.7,10.7,-1.7,67,32,1.9,3.6,270.0,6.2,292.5,9.3,,,,
1996-12-09,1017.8,1021.6,,,,4.5,13.2,-2.8,71,35,1.8,3.0,315.0,4.8,315.0,7.5,,,,
1996-12-10,1014.9,1018.7,0.0,0.0,0.0,6.6,13.0,0.7,73,46,1.6,3.1,270.0,5.4,315.0,5.7,,,,
1996-12-11,1011.5,1015.3,5.0,3.0,1.0,7.4,14.7,2.9,88,49,0.9,2.5,315.0,3.9,22.5,7.2,,,,
1996-12-12,1014.9,1018.6,,,,8.3,14.4,2.3,77,41,1.5,3.5,45.0,6.2,45.0,3.5,,,,
1996-12-13,1017.8,1021.6,0.0,0.0,0.0,7.8,10.4,4.2,73,60,2.3,4.7,67.5,8.2,45.0,,,,,
1996-12-14,1016.9,1020.7,0.0,0.0,0.0,7.4,14.4,2.6,79,52,1.7,3.8,315.0,6.2,315.0,6.4,,,,
1996-12-15,1023.3,1027.1,,,,7.1,14.0,0.0,72,37,2.1,4.3,67.5,7.4,90.0,6.1,,,,
1996-12-16,1026.5,1030.3,,,,7.6,14.6,1.4,78,51,1.7,2.5,112.5,5.4,315.0,5.6,,,,
1996-12-17,1017.5,1021.3,3.0,2.0,1.0,10.8,17.1,2.9,82,52,1.6,3.1,180.0,7.7,247.5,7.0,,,,
1996-12-18,1005.3,1009.1,15.5,5.5,2.0,9.5,14.2,3.1,94,69,2.3,4.0,270.0,9.9,270.0,0.7,,,,
1996-12-19,1010.3,1014.1,0.5,0.5,0.5,5.1,9.3,2.4,84,63,2.0,3.7,292.5,7.4,67.5,5.4,,,,
1996-12-20,1017.9,1021.7,,,,3.2,9.4,-2.5,64,33,1.9,4.3,292.5,9.6,292.5,9.2,,,,
1996-12-21,1016.4,1020.2,,,,4.0,11.8,-2.6,73,37,1.7,2.9,270.0,4.6,270.0,7.4,,,,
1996-12-22,1008.7,1012.4,,,,5.4,12.0,-0.4,77,49,2.0,4.1,202.5,7.6,180.0,8.8,,,,
1996-12-23,1004.3,1008.0,,,,5.6,10.6,0.8,56,26,4.3,8.6,270.0,20.5,292.5,9.3,,,,
1996-12-24,1015.5,1019.4,,,,2.0,8.5,-4.1,67,38,1.6,3.6,292.5,6.5,337.5,1.5,,,,
1996-12-25,1010.3,1014.1,,,,3.4,13.0,-3.6,73,36,1.7,3.2,292.5,5.5,270.0,8.9,,,,
1996-12-26,1012.3,1016.1,,,,3.8,12.4,-2.6,63,29,2.2,6.2,292.5,11.6,315.0,8.8,,,,
1996-12-27,1017.8,1021.7,,,,2.2,8.9,-4.8,69,39,1.2,2.3,45.0,4.1,225.0,8.8,,,,
1996-12-28,1008.3,1012.1,,,,5.1,15.0,-2.6,56,31,3.0,8.7,315.0,17.2,270.0,9.0,,,,
1996-12-29,1013.4,1017.2,,,,2.6,9.9,-3.7,64,34,1.4,3.3,292.5,5.7,315.0,9.1,,,,
1996-12-30,1015.2,1019.0,,,,3.7,13.9,-3.6,74,38,1.6,2.8,247.5,5.0,270.0,9.0,,,,
1996-12-31,1017.1,1020.9,,,,5.6,13.8,-0.8,80,51,1.7,2.7,337.5,4.9,337.5,7.7,,,,
