,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day6-18_x,WeaCon-night18-n6_x
1961-10-01,,1010.1,0.1,0.1,0.1,22.2,25.9,20.7,89,74,3.8,7.2,67.5,11.0,67.5,4.3,,,,
1961-10-02,,1017.1,7.4,1.8,0.6,20.4,22.3,20.0,95,79,3.7,4.5,45.0,7.0,45.0,,,,,
1961-10-03,,1019.2,3.7,2.2,0.7,19.6,21.4,18.6,95,86,5.0,6.5,45.0,9.2,45.0,,,,,
1961-10-04,,1021.2,15.1,2.5,0.9,17.9,18.8,18.2,96,94,3.8,5.0,45.0,9.4,67.5,,,,,
1961-10-05,,1015.0,0.7,0.2,0.1,19.2,21.2,17.0,96,88,1.7,4.2,22.5,5.1,22.5,,,,,
1961-10-06,,1005.9,0.0,0.0,0.0,21.8,24.7,18.1,95,82,1.4,3.2,202.5,4.7,202.5,,,,,
1961-10-07,,1004.6,19.1,6.4,3.4,18.6,22.2,19.3,95,88,1.8,4.7,45.0,7.8,337.5,,,,,
1961-10-08,,1014.7,1.1,0.7,0.3,16.4,21.4,7.6,75,48,2.4,5.2,67.5,6.7,45.0,5.1,,,,
1961-10-09,,1011.3,76.0,14.4,4.2,15.6,16.9,14.6,87,69,5.3,8.8,22.5,13.4,45.0,,,,,
1961-10-10,,997.7,4.6,4.5,1.3,17.9,21.9,14.8,84,57,6.3,11.8,45.0,23.1,67.5,0.6,,,,
1961-10-11,,1014.1,,,,17.9,21.4,14.4,86,71,3.2,4.5,90.0,6.2,90.0,1.4,,,,
1961-10-12,,1019.6,,,,18.2,23.1,13.5,81,55,2.7,5.8,112.5,6.9,112.5,6.0,,,,
1961-10-13,,1020.3,,,,17.2,24.1,12.7,77,49,1.8,5.5,90.0,6.9,90.0,8.4,,,,
1961-10-14,,1018.9,0.0,0.0,0.0,17.4,22.3,13.3,82,50,1.5,4.0,112.5,5.0,112.5,5.9,,,,
1961-10-15,,1021.1,0.2,0.2,0.1,15.4,17.7,13.9,79,64,2.2,4.2,67.5,5.1,67.5,,,,,
1961-10-16,,1018.6,,,,17.5,22.7,14.3,89,63,1.0,2.3,180.0,3.9,180.0,2.0,,,,
1961-10-17,,1021.6,,,,18.7,25.1,13.3,89,57,2.1,4.0,90.0,5.0,90.0,6.0,,,,
1961-10-18,,1024.5,0.5,0.3,0.2,20.9,26.6,16.4,81,51,1.7,3.5,67.5,3.8,45.0,8.2,,,,
1961-10-19,,1013.4,0.0,0.0,0.0,22.6,28.8,19.0,88,59,2.2,5.2,225.0,7.1,225.0,5.4,,,,
1961-10-20,,1018.4,17.3,3.2,1.1,15.0,20.4,18.2,90,81,5.0,6.7,90.0,10.2,90.0,,,,,
1961-10-21,,1028.2,1.4,0.5,0.2,12.3,13.5,10.6,92,83,2.3,4.0,315.0,5.2,315.0,,,,,
1961-10-22,,1028.3,3.2,0.8,0.3,13.6,17.1,11.7,95,68,2.5,4.3,315.0,6.1,315.0,,,,,
1961-10-23,,1018.0,10.9,-999.0,-999.0,14.7,16.5,13.0,98,92,1.6,3.5,337.5,4.9,337.5,,,,,
1961-10-24,,1025.9,,,,13.9,15.8,12.8,78,65,3.9,5.7,67.5,7.7,45.0,,,,,
1961-10-25,,1028.5,,,,12.3,16.7,7.7,75,60,4.1,6.7,45.0,9.6,45.0,7.5,,,,
1961-10-26,,1022.6,2.6,1.0,0.4,13.7,16.7,8.5,77,57,5.4,7.5,45.0,13.0,45.0,2.1,,,,
1961-10-27,,1008.0,19.4,4.7,2.1,19.5,22.7,13.6,91,73,6.1,10.0,112.5,15.0,112.5,1.2,,,,
1961-10-28,,995.9,14.4,7.0,2.6,19.8,20.4,19.9,94,77,5.7,7.2,90.0,13.1,67.5,,,,,
1961-10-29,,1004.2,,,,18.7,26.5,17.2,77,45,2.3,6.3,292.5,11.2,292.5,8.5,,,,
1961-10-30,,1023.5,,,,13.7,17.4,11.4,70,51,3.7,6.7,67.5,9.9,67.5,4.7,,,,
1961-10-31,,1025.6,,,,14.6,18.4,9.8,80,62,2.7,4.8,67.5,6.8,67.5,3.6,,,,
