,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day6-18_x,WeaCon-night18-n6_x
1971-01-01,1015.1,1018.5,,,,-999.0,9.4,-5.2,81,45,1.5,3.3,0.0,6.1,0.0,8.4,,,,
1971-01-02,1017.8,1021.2,,,,-999.0,8.9,-5.8,72,25,3.0,8.5,292.5,13.4,315.0,8.3,,,,
1971-01-03,1018.4,1021.9,4.5,-999.0,-999.0,-0.2,0.7,-2.3,80,48,2.2,4.7,315.0,7.3,315.0,,12.0,,,
1971-01-04,1001.8,1005.1,9.5,-999.0,0.5,1.0,7.1,-3.8,89,67,2.3,6.0,315.0,9.6,315.0,3.1,2.0,12.0,,
1971-01-05,1002.7,1006.1,0.0,0.0,0.0,0.6,5.2,-3.4,69,41,3.3,7.8,315.0,14.2,292.5,4.0,,8.0,,
1971-01-06,1016.7,1020.1,,,,-2.6,5.4,-10.5,71,29,1.8,4.2,292.5,6.4,315.0,8.2,,4.0,,
1971-01-07,1012.4,1015.8,,,,0.7,8.5,-3.8,64,30,1.7,3.3,270.0,4.8,270.0,7.2,,0.0,,
1971-01-08,1010.6,1014.0,,,,1.3,7.8,-3.8,74,35,1.6,5.2,67.5,8.2,45.0,3.7,,,,
1971-01-09,1015.7,1019.2,,,,0.1,6.7,-4.9,63,31,2.2,5.8,67.5,8.0,45.0,6.0,,,,
1971-01-10,1024.1,1027.6,,,,-2.7,7.3,-9.4,74,30,1.5,-999.0,,4.2,,8.4,,,,
1971-01-11,1019.8,1023.3,,,,-0.3,8.3,-8.2,80,45,1.9,3.0,315.0,4.0,315.0,7.5,,,,
1971-01-12,1015.5,1018.9,,,,4.0,13.0,-3.3,74,27,3.1,5.5,112.5,7.4,112.5,7.9,,,,
1971-01-13,1008.4,1011.7,0.0,0.0,0.0,4.1,8.6,0.7,88,67,1.6,4.5,67.5,6.1,67.5,,,,,
1971-01-14,1003.8,1007.2,,,,2.8,9.6,-4.6,66,29,3.6,8.7,292.5,13.9,292.5,8.6,,,,
1971-01-15,1009.9,1013.3,,,,1.2,8.5,-4.1,78,41,1.8,4.7,112.5,7.0,90.0,2.5,,,,
1971-01-16,1006.8,1010.2,,,,2.7,10.5,-4.1,68,23,3.7,9.7,315.0,17.4,315.0,8.3,,,,
1971-01-17,1012.6,1016.0,,,,3.8,9.5,-3.8,50,31,3.8,8.0,292.5,12.7,292.5,8.3,,,,
1971-01-18,1013.1,1016.4,,,,5.0,13.5,-2.3,51,28,3.0,7.2,337.5,11.3,337.5,4.7,,,,
1971-01-19,1015.9,1019.4,,,,1.5,11.4,-6.4,63,22,1.6,3.5,45.0,6.2,45.0,8.4,,,,
1971-01-20,1017.4,1020.8,,,,1.7,9.4,-7.5,71,35,2.1,4.7,135.0,7.1,112.5,8.1,,,,
1971-01-21,1006.5,1009.9,13.0,-999.0,0.5,4.2,6.2,1.8,91,73,2.4,4.5,292.5,7.4,22.5,,,,,
1971-01-22,995.6,998.8,5.0,1.5,0.5,7.5,13.8,3.8,83,44,2.5,5.2,292.5,8.3,315.0,0.8,,,,
1971-01-23,1004.9,1008.3,,,,3.1,7.6,-0.4,43,23,4.7,11.2,315.0,16.5,315.0,8.2,,,,
1971-01-24,1011.7,1015.1,,,,1.7,8.0,-3.3,37,24,4.2,7.7,270.0,11.8,270.0,8.6,,,,
1971-01-25,1009.1,1012.5,,,,3.3,10.2,-3.2,63,33,1.4,3.7,180.0,7.3,202.5,4.0,,,,
1971-01-26,1006.2,1009.6,,,,2.6,10.0,-4.5,66,31,2.0,4.2,67.5,6.4,67.5,4.5,,,,
1971-01-27,1010.2,1013.6,,,,0.5,8.6,-7.0,68,31,2.3,5.8,112.5,7.8,90.0,6.8,,,,
1971-01-28,1009.0,1012.4,,,,0.8,8.8,-5.9,62,29,2.4,5.3,315.0,7.5,315.0,7.5,,,,
1971-01-29,1011.9,1015.3,,,,0.3,7.7,-8.7,60,23,2.5,6.2,292.5,9.9,292.5,8.7,,,,
1971-01-30,1004.4,1007.7,,,,1.6,8.4,-5.5,66,25,2.9,6.5,337.5,11.8,315.0,4.6,,,,
1971-01-31,1004.1,1007.5,,,,-0.2,9.0,-9.9,64,34,2.1,4.3,202.5,8.9,180.0,8.3,,,,
