,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day830-17_x,xxx
2013-12-01,1013.2,1016.6,,,,5.7,14.1,-1.4,72,36,1.6,3.2,292.5,5.2,292.5,9.4,,,,
2013-12-02,1012.5,1015.9,,,,6.2,14.9,-1.0,76,41,1.5,2.7,45.0,4.5,67.5,9.3,,,,
2013-12-03,1013.5,1016.9,,,,7.5,15.4,0.1,75,33,1.7,3.0,45.0,5.3,90.0,9.2,,,,
2013-12-04,1012.4,1015.8,,,,8.2,14.9,2.8,84,59,1.8,3.2,315.0,5.9,67.5,2.8,,,,
2013-12-05,1011.7,1015.0,,,,7.3,15.2,0.8,77,36,1.8,2.8,315.0,4.3,315.0,9.4,,,,
2013-12-06,1006.5,1009.8,,,,7.4,16.2,1.9,75,32,1.6,2.9,22.5,4.3,337.5,6.4,,,,
2013-12-07,1010.7,1014.1,0.0,0.0,0.0,6.7,13.5,1.1,68,40,1.6,3.8,22.5,6.5,45.0,5.9,,,,
2013-12-08,1017.6,1021.1,,,,4.3,10.7,-1.8,65,33,1.4,2.9,135.0,6.2,270.0,6.0,,,,
2013-12-09,1015.0,1018.5,0.0,0.0,0.0,3.5,9.2,-3.4,74,47,1.1,2.5,315.0,3.4,270.0,0.4,,,,
2013-12-10,995.2,998.5,7.0,4.0,2.0,7.6,13.4,3.0,72,39,3.3,8.7,270.0,17.3,270.0,2.6,,,,
2013-12-11,1000.1,1003.5,,,,5.8,11.4,0.1,63,36,1.9,4.8,247.5,10.0,247.5,3.5,,,,
2013-12-12,1006.2,1009.5,,,,5.0,12.6,-1.2,58,26,2.4,4.7,270.0,9.5,270.0,9.0,,,,
2013-12-13,1006.7,1010.1,,,,6.0,14.6,-3.4,56,24,3.2,9.3,202.5,15.1,225.0,8.9,,,,
2013-12-14,1009.9,1013.3,,,,5.3,10.5,-1.0,45,26,2.7,4.5,315.0,8.6,315.0,9.3,,,,
2013-12-15,1010.3,1013.7,,,,5.3,10.4,0.2,46,26,3.6,6.7,315.0,13.0,292.5,9.4,,,,
2013-12-16,1014.0,1017.4,,,,5.4,11.1,0.8,46,28,4.0,7.9,270.0,16.1,270.0,8.3,,,,
2013-12-17,1017.8,1021.2,,,,5.0,11.3,-0.4,61,33,1.4,2.8,45.0,4.8,45.0,6.5,,,,
2013-12-18,1016.8,1020.2,4.5,1.5,0.5,4.3,8.0,0.4,76,49,2.1,3.9,315.0,7.0,315.0,0.0,,,,
2013-12-19,1009.7,1013.1,14.0,3.5,1.0,5.4,7.6,3.0,93,86,2.8,5.3,337.5,9.8,337.5,0.0,,,,
2013-12-20,999.1,1002.4,17.5,4.0,1.0,4.4,7.8,-0.7,88,65,2.5,6.0,270.0,12.8,270.0,0.0,,,,
2013-12-21,1003.8,1007.2,,,,3.3,10.6,-2.1,81,47,1.4,2.4,292.5,3.7,45.0,7.3,,,,
2013-12-22,1013.4,1016.8,,,,3.4,10.7,-2.6,65,28,2.8,7.0,292.5,12.5,315.0,9.5,,,,
2013-12-23,1017.4,1020.9,,,,2.6,8.1,-3.8,69,43,1.4,2.4,202.5,3.7,315.0,3.5,,,,
2013-12-24,1015.6,1019.0,,,,4.3,11.7,-2.0,55,28,3.0,7.1,315.0,13.7,315.0,9.0,,,,
2013-12-25,1023.5,1026.9,,,,1.4,8.9,-4.6,62,25,1.6,3.2,180.0,5.8,337.5,9.3,,,,
2013-12-26,1014.4,1017.9,0.5,0.5,0.5,2.7,6.7,-2.3,76,57,1.3,3.3,292.5,6.0,292.5,0.5,,,,
2013-12-27,997.5,1000.9,2.0,0.5,0.5,4.6,7.3,1.6,81,48,1.8,4.8,292.5,9.1,270.0,0.0,,,,
2013-12-28,1003.4,1006.7,,,,2.9,8.0,-2.3,43,19,3.3,7.3,270.0,13.5,292.5,9.2,,,,
2013-12-29,1009.2,1012.6,,,,2.2,8.7,-3.3,44,14,2.8,5.7,270.0,9.7,270.0,9.4,,,,
2013-12-30,1008.3,1011.7,,,,1.5,11.2,-5.6,61,22,1.9,4.5,202.5,7.5,202.5,9.3,,,,
2013-12-31,1006.5,1009.9,,,,3.3,13.0,-4.5,65,24,1.9,3.0,270.0,5.1,292.5,9.4,,,,
