,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day830-17_x,xxx
1993-04-01,999.8,1003.4,7.0,3.0,1.5,11.4,18.9,5.3,87,51,2.2,9.0,337.5,15.4,315.0,2.5,,,,
1993-04-02,1006.2,1009.8,,,,12.4,20.5,3.6,58,26,2.5,5.4,270.0,10.5,270.0,10.7,,,,
1993-04-03,1010.1,1013.8,,,,11.5,18.4,4.0,79,57,2.2,5.5,90.0,9.0,90.0,5.5,,,,
1993-04-04,1005.6,1009.3,1.0,1.0,0.5,10.0,13.6,5.8,89,69,3.4,6.7,67.5,14.2,45.0,,,,,
1993-04-05,1007.0,1010.8,1.5,1.0,0.5,7.7,14.4,1.0,56,24,3.9,6.8,337.5,13.2,337.5,6.5,,,,
1993-04-06,1009.9,1013.7,,,,7.4,13.3,-1.0,55,32,2.3,4.1,315.0,6.8,292.5,6.0,,,,
1993-04-07,1004.9,1008.6,,,,8.7,15.2,-0.2,65,39,2.7,6.2,180.0,11.6,180.0,7.3,,,,
1993-04-08,1005.9,1009.6,0.0,0.0,0.0,8.4,16.3,1.1,51,21,2.9,8.4,270.0,17.2,292.5,8.1,,,,
1993-04-09,1014.4,1018.1,0.5,0.5,0.5,6.4,15.3,-2.2,62,22,2.1,6.1,45.0,12.4,45.0,8.8,,,,
1993-04-10,1015.3,1019.1,0.0,0.0,0.0,5.4,13.9,-0.9,70,25,1.9,5.4,67.5,11.0,67.5,7.4,,,,
1993-04-11,1014.3,1018.1,0.0,0.0,0.0,6.4,13.9,-3.1,63,30,2.6,6.1,202.5,10.4,202.5,9.8,,,,
1993-04-12,1015.8,1019.6,0.0,0.0,0.0,7.5,12.9,2.5,67,42,3.0,5.2,90.0,10.0,22.5,4.2,,,,
1993-04-13,1020.5,1024.3,1.5,1.0,0.5,6.8,13.1,1.0,75,48,2.1,4.6,135.0,9.8,315.0,3.5,,,,
1993-04-14,1017.9,1021.6,,,,8.4,16.2,0.1,66,23,2.1,6.0,135.0,10.3,135.0,11.4,,,,
1993-04-15,1011.5,1015.2,,,,11.5,20.5,0.7,52,21,2.3,5.2,180.0,9.3,180.0,8.6,,,,
1993-04-16,1008.5,1012.2,,,,12.7,20.8,3.3,46,20,2.6,5.5,202.5,10.6,202.5,10.3,,,,
1993-04-17,1001.4,1005.0,0.0,0.0,0.0,12.2,20.2,5.0,71,30,2.0,4.7,135.0,9.4,0.0,6.0,,,,
1993-04-18,999.0,1002.6,,,,15.5,27.3,3.9,54,17,2.8,6.8,337.5,12.3,270.0,10.9,,,,
1993-04-19,1009.4,1013.0,,,,10.5,15.1,6.2,55,34,3.6,7.2,90.0,12.3,90.0,10.9,,,,
1993-04-20,1017.0,1020.7,0.0,0.0,0.0,8.7,10.9,6.7,61,54,3.1,5.8,67.5,12.2,67.5,,,,,
1993-04-21,1020.2,1023.9,0.0,0.0,0.0,8.9,12.1,6.3,74,65,2.2,3.9,67.5,7.9,45.0,,,,,
1993-04-22,1011.5,1015.2,10.5,4.5,2.0,13.4,20.2,9.4,88,62,1.9,4.8,157.5,8.7,202.5,0.3,,,,
1993-04-23,1000.8,1004.4,,,,16.7,23.0,12.3,82,58,2.4,6.1,202.5,11.0,202.5,5.1,,,,
1993-04-24,997.6,1001.1,,,,18.1,22.2,14.2,79,59,3.6,8.5,180.0,18.2,202.5,0.1,,,,
1993-04-25,994.4,998.0,,,,17.5,27.5,8.9,56,22,3.8,8.8,292.5,17.7,292.5,4.4,,,,
1993-04-26,1010.1,1013.7,,,,12.7,19.5,2.7,48,23,3.7,7.8,202.5,14.0,225.0,11.8,,,,
1993-04-27,1006.1,1009.7,,,,16.7,24.6,6.5,59,38,2.6,6.0,180.0,11.3,202.5,10.6,,,,
1993-04-28,1012.6,1016.3,5.5,2.0,0.5,11.4,16.4,6.8,66,28,3.0,5.9,90.0,11.2,112.5,4.7,,,,
1993-04-29,1006.9,1010.6,7.5,2.0,0.5,8.4,9.4,7.2,90,83,2.8,4.9,22.5,10.7,22.5,,,,,
1993-04-30,1007.6,1011.3,0.5,0.5,0.5,9.3,11.3,7.6,94,86,1.6,3.6,90.0,5.7,90.0,0.1,,,,
