,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day830-17_x,xxx
2008-11-01,1009.2,1012.9,0.0,0.0,0.0,11.9,20.1,6.9,73,36,2.4,4.9,337.5,8.8,337.5,9.6,,,,
2008-11-02,1009.9,1013.6,,,,11.5,18.8,6.1,80,46,1.4,3.2,202.5,,,7.5,,,,
2008-11-03,1006.9,1010.7,,,,11.3,14.0,9.3,89,76,1.3,3.0,292.5,,,0.0,,,,
2008-11-04,1011.9,1015.6,0.0,,,12.2,19.4,5.7,73,39,1.5,3.6,0.0,6.7,45.0,5.9,,,,
2008-11-05,1018.6,1022.4,,,,9.7,16.5,4.2,79,53,1.6,3.0,90.0,,,1.5,,,,
2008-11-06,1015.3,1019.0,,,,11.6,19.9,4.2,84,55,1.5,3.4,202.5,5.9,157.5,8.2,,,,
2008-11-07,1008.1,1011.8,0.0,0.0,0.0,14.0,20.3,10.9,79,51,1.6,3.5,292.5,5.8,292.5,3.7,,,,
2008-11-08,1011.2,1014.9,0.0,0.0,0.0,11.2,14.3,6.6,70,40,1.5,2.5,157.5,,,0.0,,,,
2008-11-09,1014.1,1017.9,0.0,0.0,0.0,9.1,10.7,5.9,74,58,1.6,2.8,22.5,5.2,45.0,0.0,,,,
2008-11-10,1017.4,1021.2,1.5,1.0,0.5,9.5,13.1,7.2,78,50,1.9,3.5,0.0,5.7,22.5,0.2,,,,
2008-11-11,1022.6,1026.4,,,,10.2,13.1,6.7,68,55,2.6,4.3,45.0,8.7,45.0,0.0,,,,
2008-11-12,1020.3,1024.1,0.5,0.5,0.5,10.7,13.9,7.6,80,64,2.1,3.8,22.5,7.6,22.5,0.1,,,,
2008-11-13,1019.7,1023.5,,,,12.5,18.3,7.3,71,47,2.4,4.7,67.5,8.0,112.5,9.5,,,,
2008-11-14,1018.8,1022.5,0.0,0.0,0.0,13.3,19.4,6.3,76,51,1.8,3.0,315.0,6.7,315.0,4.0,,,,
2008-11-15,1015.3,1019.0,0.5,0.5,0.5,14.6,19.1,9.7,84,66,1.9,3.7,90.0,6.3,112.5,3.1,,,,
2008-11-16,1008.1,1011.8,3.0,1.5,0.5,14.2,16.3,13.1,94,84,1.0,2.1,315.0,3.3,45.0,0.0,,,,
2008-11-17,1005.9,1009.6,0.0,,,14.1,18.5,10.9,85,60,1.8,4.2,67.5,6.8,67.5,3.4,,,,
2008-11-18,1003.8,1007.5,0.0,0.0,0.0,13.2,18.0,8.7,76,46,1.7,3.6,270.0,9.5,315.0,4.2,,,,
2008-11-19,1006.9,1010.6,,,,8.3,14.2,1.3,45,23,2.7,5.8,292.5,12.0,315.0,6.4,,,,
2008-11-20,1014.6,1018.4,,,,5.3,11.8,-0.8,56,23,2.0,4.4,202.5,,,9.9,,,,
2008-11-21,1011.9,1015.7,,,,7.1,14.8,-1.9,59,26,2.3,5.0,315.0,8.5,337.5,9.7,,,,
2008-11-22,1018.4,1022.2,,,,7.3,13.7,0.2,59,27,2.4,5.9,315.0,,,9.5,,,,
2008-11-23,1017.0,1020.8,,,,8.3,16.2,3.1,62,35,2.1,3.5,67.5,7.2,45.0,6.8,,,,
2008-11-24,1018.3,1022.1,21.0,4.5,1.0,7.3,12.6,1.4,83,49,1.9,3.7,67.5,7.2,45.0,2.2,,,,
2008-11-25,1013.3,1017.1,6.5,4.5,1.5,8.2,12.2,4.2,77,53,2.5,5.3,337.5,9.4,337.5,6.0,,,,
2008-11-26,1020.6,1024.5,0.0,0.0,0.0,8.3,13.8,3.5,75,43,1.9,3.9,0.0,7.2,315.0,8.8,,,,
2008-11-27,1016.7,1020.5,2.5,1.5,1.0,6.1,7.9,1.7,93,83,1.5,3.4,315.0,6.5,315.0,0.0,,,,
2008-11-28,1000.5,1004.2,27.0,13.5,3.5,9.0,12.2,4.1,92,76,2.4,6.2,45.0,13.8,67.5,2.0,,,,
2008-11-29,1008.9,1012.6,0.0,0.0,0.0,9.7,16.1,2.5,76,44,2.4,5.1,157.5,8.3,157.5,8.2,,,,
2008-11-30,1012.3,1016.1,,,,9.8,15.7,3.3,52,29,3.5,6.3,315.0,12.2,315.0,8.8,,,,
