,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day6-18_x,WeaCon-night18-n6_x
1972-12-01,995.7,999.0,0.5,0.5,0.5,6.4,10.7,2.2,52,24,4.4,9.7,292.5,15.0,270.0,8.9,,,,
1972-12-02,1006.6,1009.9,,,,6.7,12.2,2.0,46,33,4.7,8.8,292.5,16.2,292.5,8.2,,,,
1972-12-03,1018.9,1022.3,,,,4.1,13.8,-4.8,70,29,1.3,4.2,315.0,5.3,315.0,8.2,,,,
1972-12-04,1017.5,1020.9,,,,5.1,15.2,-1.1,77,41,1.1,2.8,292.5,5.3,315.0,5.6,,,,
1972-12-05,1015.5,1018.9,,,,3.9,16.3,-3.4,79,31,1.2,2.5,315.0,4.7,292.5,7.4,,,,
1972-12-06,1011.1,1014.4,,,,4.3,15.5,-3.9,73,20,1.6,2.8,225.0,4.9,247.5,6.5,,,,
1972-12-07,1011.4,1014.8,,,,7.2,16.5,-3.1,80,49,1.5,4.0,90.0,6.5,67.5,5.7,,,,
1972-12-08,1008.2,1011.5,26.0,12.0,2.5,8.5,14.7,0.5,78,49,1.8,4.2,67.5,6.8,67.5,2.5,,,,
1972-12-09,1019.9,1023.3,,,,3.3,11.4,-3.4,78,43,1.9,3.7,90.0,6.9,90.0,6.7,,,,
1972-12-10,1016.5,1019.9,,,,7.6,10.8,3.1,79,65,1.3,2.8,315.0,4.3,315.0,,,,,
1972-12-11,1017.9,1021.2,,,,5.7,14.0,0.0,80,33,1.5,2.5,112.5,4.7,315.0,6.8,,,,
1972-12-12,1002.3,1005.6,17.0,14.0,2.5,8.4,16.3,1.3,87,50,2.6,6.7,180.0,14.3,180.0,0.8,,,,
1972-12-13,1007.9,1011.3,,,,1.8,7.0,-5.6,44,27,4.2,12.0,315.0,23.5,315.0,8.4,,,,
1972-12-14,1014.1,1017.5,,,,-1.2,8.2,-8.5,76,34,-999.0,3.8,315.0,5.8,337.5,7.4,,,,
1972-12-15,1022.7,1026.1,,,,2.3,11.2,-7.5,70,36,1.5,3.2,315.0,5.2,315.0,7.4,,,,
1972-12-16,1020.9,1024.3,,,,3.5,13.2,-2.3,80,47,1.5,2.8,292.5,4.8,315.0,5.5,,,,
1972-12-17,1017.2,1020.6,,,,0.6,9.2,-5.7,88,51,1.2,2.5,315.0,4.0,292.5,0.4,,,,
1972-12-18,1009.3,1012.6,,,,4.8,14.6,-2.3,82,47,1.6,3.3,45.0,5.6,45.0,4.8,,,,
1972-12-19,1017.5,1020.9,,,,4.5,7.0,2.2,66,45,2.1,4.7,45.0,7.4,45.0,,,,,
1972-12-20,1018.4,1021.8,,,,1.5,8.3,-5.2,63,42,1.9,3.5,112.5,6.1,22.5,7.9,,,,
1972-12-21,1019.7,1023.2,,,,0.1,10.1,-6.3,73,28,1.6,3.7,337.5,6.9,315.0,6.5,,,,
1972-12-22,1027.0,1030.4,,,,0.3,10.1,-7.4,69,19,1.6,4.3,292.5,7.1,292.5,8.5,,,,
1972-12-23,1025.5,1029.0,4.5,2.0,0.5,3.2,8.0,-6.6,83,56,2.4,5.7,45.0,10.3,45.0,,,,,
1972-12-24,1004.3,1007.6,74.0,8.5,2.0,8.0,10.0,6.5,88,71,6.5,11.7,22.5,19.2,22.5,,,,,
1972-12-25,1011.8,1015.1,0.0,0.0,0.0,7.8,11.9,4.1,77,55,2.0,4.5,67.5,7.5,67.5,1.1,,,,
1972-12-26,1018.2,1021.6,0.0,0.0,0.0,5.7,12.1,-0.2,81,55,1.5,3.0,315.0,5.0,337.5,1.2,,,,
1972-12-27,1017.5,1020.9,,,,4.3,13.7,-2.4,82,36,1.5,3.2,292.5,5.7,292.5,7.9,,,,
1972-12-28,1010.4,1013.8,4.0,2.0,0.5,7.6,9.7,2.9,90,79,1.7,3.5,45.0,6.0,315.0,,,,,
1972-12-29,995.3,998.6,0.5,0.5,0.5,7.0,10.3,2.0,93,42,2.0,7.3,270.0,12.6,270.0,,,,,
1972-12-30,1006.7,1010.0,,,,3.1,7.7,-4.0,53,26,4.8,9.0,292.5,16.2,292.5,8.7,,,,
1972-12-31,1017.5,1020.9,,,,2.7,11.4,-5.4,62,27,2.1,5.0,315.0,9.0,292.5,7.8,,,,
