month,maxTemp,minTemp,meanTemp,rainfall
1,,,,99.7
2,,,,139.2
3,,,,134.2
4,,,,135.3
5,,,,104.5
6,,,,99.2
7,,,,66.3
8,,,,58.9
9,,,,75.0
10,,,,73.3
11,,,,105.2
12,,,,82.5
