month,maxTemp,minTemp,meanTemp,rainfall
1,-0.5,-5.1,,53.0
2,-0.6,-5.4,,38.0
3,2.5,-2.9,,35.0
4,8.1,1.6,,37.0
5,14.2,6.2,,42.0
6,17.6,10.5,,48.0
7,20.2,13.6,,66.0
8,20.1,13.5,,80.0
9,16.3,10.1,,79.0
10,11.0,5.7,,77.0
11,5.6,1.4,,78.0
12,2.0,-2.4,,68.0
