,Precipitation,Temperature
January,52.8,-3.1
February,38.3,-3.8
March,34.4,-0.7
April,34.1,4.4
May,37.9,10.4
June,60.1,14.9
July,57.1,18.1
August,81.4,16.9
September,55.7,12.3
October,73.3,6.6
November,69.3,2.4
December,58.3,-0.7
