,Precipitation,Temperature
January,46.3,-5.9
February,34.6,-6.3
March,31.3,-2.5
April,29.4,3.6
May,41.2,10.1
June,67.1,14.3
July,70.0,17.2
August,69.8,15.2
September,52.7,10.0
October,63.1,4.3
November,58.3,0.1
December,50.0,-3.4
