,Precipitation,Temperature
January,41,-0.2
February,40,1.7
March,43,6.6
April,44,12.4
May,56,17.7
June,51,21.8
July,55,23.7
August,44,23.0
September,44,17.4
October,51,11.4
November,46,5.7
December,50,0.8
