,Precipitation,Temperature
January,9.0,26.5
February,45.9,28.5
March,92.4,28.5
April,157.0,27.7
May,154.4,27.1
June,181.2,26.0
July,88.5,25.1
August,57.5,24.8
September,162.7,25.4
October,163.1,26.0
November,52.7,26.6
December,10.2,26.1
