,Precipitation,Temperature
January,146.4,9.6
February,119.0,9.7
March,111.0,11.7
April,127.7,13.2
May,115.2,16.0
June,95.3,18.8
July,77.2,20.8
August,92.4,21.5
September,122.0,19.3
October,142.8,16.8
November,208.5,12.6
December,163.8,10.4
