month,maxTemp,minTemp,meanTemp,rainfall
1,26.4,,,90.9
2,26.3,,,130.0
3,25.5,,,143.1
4,23.6,,,122.5
5,21.0,,,120.5
6,18.9,,,104.2
7,18.1,,,81.2
8,19.3,,,59.3
9,21.6,,,63.7
10,22.7,,,87.5
11,23.5,,,110.5
12,25.6,,,80.3
