,Precipitation,Temperature
January,42.1,-2.0
February,33.1,-1.1
March,39.4,2.2
April,37.5,7.9
May,59.8,12.9
June,70.1,16.1
July,88.0,18.3
August,63.8,17.8
September,58.5,13.2
October,57.7,8.0
November,47.0,3.3
December,45.4,-0.4
