,Precipitation,Temperature
January,40.8,-3.8
February,35.6,-3.0
March,36.8,1.2
April,37.4,8.1
May,67.6,13.6
June,76.9,17.0
July,96.5,18.9
August,52.5,18.3
September,54.5,13.0
October,46.6,7.2
November,42.8,2.0
December,44.8,-2.2
