,Precipitation,Temperature
January,25.5,-1.0
February,37.2,1.3
March,51.6,6.6
April,81.6,13.0
May,91.8,18.5
June,167.3,22.7
July,306.9,25.5
August,299.8,26.0
September,152.5,21.2
October,59.3,14.6
November,48.0,7.7
December,29.7,1.0
