,Precipitation,Temperature
January,43.0,-9.1
February,31.3,-7.9
March,44.1,-3.7
April,55.9,0.4
May,84.0,5.2
June,109.5,9.2
July,118.5,11.0
August,129.8,10.8
September,85.7,6.6
October,97.5,2.3
November,85.5,-3.4
December,51.3,-8.2
