,Precipitation,Temperature
January,66.8,0.2
February,64.2,0.8
March,87.3,4.4
April,102.9,8.1
May,156.5,12.2
June,170.2,15.7
July,174.4,17.5
August,185.3,17.2
September,137.8,13.1
October,104.8,9.2
November,92.7,4.3
December,90.4,1.3
