,Precipitation,Temperature
January,29.0,-2.1
February,30.1,-0.1
March,32.7,4.6
April,45.2,10.4
May,77.3,14.7
June,83.0,18.2
July,94.4,19.9
August,65.6,19.8
September,50.7,14.8
October,51.6,9.4
November,45.0,4.2
December,34.3,-1.1
