,Precipitation,Temperature
January,32.2,-0.5
February,35.0,1.3
March,33.0,6.1
April,43.4,11.8
May,59.2,16.7
June,68.0,20.4
July,64.8,22.1
August,53.8,22.0
September,49.6,16.8
October,44.9,11.3
November,44.0,5.9
December,46.4,0.8
