,Precipitation,Temperature
January,28.1,6.0
February,29.5,7.4
March,32.5,10.6
April,39.1,13.0
May,40.8,17.1
June,20.3,22.4
July,9.1,25.7
August,10.0,25.3
September,25.4,20.7
October,57.3,15.3
November,47.3,9.7
December,34.3,6.6
