month,maxTemp,minTemp,meanTemp,rainfall
1,22.8,10.9,,15.7
2,22.5,10.6,,15.4
3,21.0,9.8,,25.4
4,18.3,8.1,,72.4
5,15.4,7.5,,182.6
6,13.7,6.6,,230.7
7,13.2,5.8,,198.4
8,14.0,6.0,,153.6
9,15.5,6.1,,84.1
10,17.2,7.4,,57.2
11,19.3,8.7,,33.4
12,21.4,10.1,,21.3
