month,maxTemp,minTemp,meanTemp,rainfall
1,6.2,-3.7,,25.9
2,8.8,-2.1,,26.9
3,12.9,0.4,,19.8
4,16.6,2.4,,13.5
5,21.8,6.8,,17.0
6,27.4,11.1,,14.2
7,32.7,16.3,,5.6
8,31.4,14.8,,5.8
9,26.3,10.3,,9.7
10,19.1,4.8,,15.5
11,11.2,0.2,,25.9
12,6.1,-3.6,,30.0
