month,maxTemp,minTemp,meanTemp,rainfall
1,20.6,7.8,,25.4
2,22.5,8.9,,26.2
3,25.9,11.5,,15.5
4,29.3,14.0,,2.8
5,34.1,18.2,,3.3
6,38.8,21.8,,1.5
7,41.8,25.2,,6.4
8,41.2,25.3,,8.6
9,37.9,22.5,,9.1
10,31.7,16.8,,11.2
11,25.0,11.1,,13.5
12,19.5,6.9,,22.4
