,Precipitation,Temperature
January,48.1,4.4
February,44.9,4.9
March,44.2,7.9
April,47.2,10.6
May,63.0,14.2
June,51.0,17.5
July,57.2,19.7
August,50.5,19.7
September,51.3,16.1
October,59.3,12.4
November,60.3,7.7
December,58.5,4.8
