,Precipitation,Temperature
January,39.0,0.6
February,36.4,2.3
March,38.7,7.1
April,46.6,12.5
May,78.2,17.2
June,93.0,20.8
July,69.5,22.4
August,59.7,22.4
September,58.9,17.4
October,58.6,12.2
November,51.5,6.9
December,49.1,1.7
