month,maxTemp,minTemp,meanTemp,rainfall
1,15.9,2.0,,10.0
2,18.2,4.6,,12.6
3,22.1,8.8,,14.0
4,26.1,13.0,,9.4
5,30.3,17.3,,8.7
6,35.4,22.0,,5.6
7,39.5,25.8,,3.1
8,38.2,24.9,,6.3
9,32.9,19.9,,18.2
10,26.8,14.2,,23.7
11,20.6,7.7,,16.3
12,16.7,3.5,,8.0
