,Precipitation,Temperature
January,40.0,-3.8
February,32.0,-2.9
March,39.0,2.0
April,33.0,9.7
May,55.0,15.6
June,79.0,19.5
July,69.0,21.4
August,48.0,20.7
September,55.0,15.0
October,43.0,8.5
November,39.0,2.3
December,37.0,-2.0
