,Precipitation,Temperature
January,47.0,-4.1
February,41.0,-3.3
March,49.0,1.8
April,37.0,9.8
May,59.0,15.8
June,75.0,19.5
July,63.0,21.3
August,47.0,20.3
September,57.0,14.7
October,47.0,8.2
November,45.0,2.0
December,51.0,-2.5
