month,maxTemp,minTemp,meanTemp,rainfall
1,6.6,2.1,,21.0
2,6.3,2.0,,20.0
3,9.8,4.2,,21.0
4,16.4,9.4,,18.0
5,22.1,14.9,,18.0
6,27.3,19.7,,8.0
7,30.6,22.2,,2.0
8,29.7,22.9,,6.0
9,25.6,19.4,,15.0
10,19.6,13.6,,25.0
11,13.5,8.8,,30.0
12,9.7,4.8,,26.0
