date,sahelrain
1976-05-01,83
1976-06-01,30
1976-07-01,-106
1976-08-01,-134
1976-09-01,50
1976-10-01,425
1976-11-01,44
1976-12-01,12
1977-01-01,3
1977-02-01,-8
1977-03-01,-9
1977-04-01,-54
1977-05-01,-17
1977-06-01,-93
1977-07-01,-96
1977-08-01,-202
1977-09-01,59
1977-10-01,-88
1977-11-01,-24
1977-12-01,-2
1978-01-01,-3
1978-02-01,-3
1978-03-01,31
1978-04-01,168
1978-05-01,60
1978-06-01,67
1978-07-01,248
1978-08-01,-108
1978-09-01,106
1978-10-01,105
1978-11-01,17
1978-12-01,8
1979-01-01,16
1979-02-01,-8
1979-03-01,2
1979-04-01,-30
1979-05-01,100
1979-06-01,234
1979-07-01,0
1979-08-01,-190
1979-09-01,-102
1979-10-01,28
1979-11-01,31
1979-12-01,2
1980-01-01,1
1980-02-01,9
1980-03-01,-21
1980-04-01,-23
1980-05-01,19
1980-06-01,-19
1980-07-01,40
1980-08-01,79
1980-09-01,-132
1980-10-01,-91
1980-11-01,14
1980-12-01,4
1981-01-01,-4
1981-02-01,-4
1981-03-01,12
1981-04-01,29
1981-05-01,126
1981-06-01,-10
1981-07-01,222
1981-08-01,-99
1981-09-01,-143
1981-10-01,-112
1981-11-01,-15
1981-12-01,-4
1982-01-01,-5
1982-02-01,4
1982-03-01,25
1982-04-01,50
1982-05-01,-1
1982-06-01,-54
1982-07-01,-146
1982-08-01,-48
1982-09-01,-291
1982-10-01,51
1982-11-01,-13
1982-12-01,-4
1983-01-01,-5
1983-02-01,-2
1983-03-01,-10
1983-04-01,-41
1983-05-01,-2
1983-06-01,15
1983-07-01,-249
1983-08-01,-406
1983-09-01,-234
1983-10-01,-190
1983-11-01,-17
1983-12-01,-4
1984-01-01,-5
1984-02-01,-8
1984-03-01,5
1984-04-01,-5
1984-05-01,78
1984-06-01,-42
1984-07-01,-256
1984-08-01,-702
1984-09-01,-97
1984-10-01,-51
1984-11-01,21
1984-12-01,-4
1985-01-01,-4
1985-02-01,-7
1985-03-01,14
1985-04-01,-45
1985-05-01,-113
1985-06-01,-32
1985-07-01,19
1985-08-01,-46
1985-09-01,-38
1985-10-01,-148
1985-11-01,-10
1985-12-01,0
1986-01-01,-5
1986-02-01,-3
1986-03-01,-11
1986-04-01,-23
1986-05-01,9
1986-06-01,-97
1986-07-01,-71
1986-08-01,-272
1986-09-01,291
1986-10-01,-53
1986-11-01,-7
1986-12-01,-4
1987-01-01,-5
1987-02-01,-7
1987-03-01,-1
1987-04-01,-76
1987-05-01,-86
1987-06-01,-8
1987-07-01,-214
1987-08-01,-206
1987-09-01,-42
1987-10-01,10
1987-11-01,-19
1987-12-01,-4
1988-01-01,-4
1988-02-01,-2
1988-03-01,-12
1988-04-01,33
1988-05-01,-106
1988-06-01,37
1988-07-01,100
1988-08-01,381
1988-09-01,171
1988-10-01,-134
1988-11-01,4
1988-12-01,-4
1989-01-01,-5
1989-02-01,-1
1989-03-01,14
1989-04-01,-49
1989-05-01,-86
1989-06-01,43
1989-07-01,21
1989-08-01,369
1989-09-01,-128
1989-10-01,38
1989-11-01,-11
1989-12-01,9
1990-01-01,0
1990-02-01,-6
1990-03-01,-23
1990-04-01,-11
1990-05-01,19
1990-06-01,-133
1990-07-01,82
1990-08-01,-330
1990-09-01,-199
1990-10-01,-80
1990-11-01,-6
1990-12-01,3
1991-01-01,-4
1991-02-01,4
1991-03-01,18
1991-04-01,29
1991-05-01,258
1991-06-01,-29
1991-07-01,97
1991-08-01,75
1991-09-01,-320
1991-10-01,125
1991-11-01,-20
1991-12-01,-2
1992-01-01,30
1992-02-01,12
1992-03-01,-8
1992-04-01,4
1992-05-01,170
1992-06-01,-21
1992-07-01,71
1992-08-01,-62
1992-09-01,-71
1992-10-01,-54
1992-11-01,49
1992-12-01,-3
1993-01-01,-4
1993-02-01,7
1993-03-01,69
1993-04-01,5
1993-05-01,-71
1993-06-01,2
1993-07-01,149
1993-08-01,-142
1993-09-01,-32
1993-10-01,-60
1993-11-01,32
1993-12-01,-3
1994-01-01,-6
1994-02-01,-4
1994-03-01,-1
1994-04-01,-9
1994-05-01,-16
1994-06-01,8
1994-07-01,49
1994-08-01,409
1994-09-01,446
1994-10-01,332
1994-11-01,19
1994-12-01,-4
1995-01-01,-6
1995-02-01,-4
1995-03-01,11
1995-04-01,41
1995-05-01,-10
1995-06-01,-67
1995-07-01,-21
1995-08-01,116
1995-09-01,-7
1995-10-01,-39
1995-11-01,-8
1995-12-01,56
1996-01-01,-3
1996-02-01,1
1996-03-01,-10
1996-04-01,-18
1996-05-01,49
1996-06-01,-10
1996-07-01,-50
1996-08-01,-107
1996-09-01,88
1996-10-01,7
1996-11-01,-12
1996-12-01,0
1997-01-01,-1
1997-02-01,-8
1997-03-01,12
1997-04-01,38
1997-05-01,90
1997-06-01,138
1997-07-01,-243
1997-08-01,-172
1997-09-01,-46
1997-10-01,14
1997-11-01,-7
1997-12-01,-5
1998-01-01,-2
1998-02-01,-4
1998-03-01,-22
1998-04-01,28
1998-05-01,6
1998-06-01,-31
1998-07-01,-110
1998-08-01,116
1998-09-01,492
1998-10-01,-31
1998-11-01,-20
1998-12-01,-1
1999-01-01,-4
1999-02-01,-3
1999-03-01,-11
1999-04-01,12
1999-05-01,-69
1999-06-01,-115
1999-07-01,215
1999-08-01,629
1999-09-01,327
1999-10-01,257
1999-11-01,6
1999-12-01,-3
2000-01-01,12
2000-02-01,-7
2000-03-01,-11
2000-04-01,-17
2000-05-01,-19
2000-06-01,32
2000-07-01,204
2000-08-01,-113
2000-09-01,-155
2000-10-01,141
2000-11-01,-5
2000-12-01,-4
2001-01-01,-6
2001-02-01,-8
2001-03-01,-18
2001-04-01,38
2001-05-01,-61
2001-06-01,146
2001-07-01,116
2001-08-01,-102
2001-09-01,-44
2001-10-01,-108
2001-11-01,17
2001-12-01,-4
2002-01-01,51
2002-02-01,-3
2002-03-01,-4
2002-04-01,-20
2002-05-01,-95
2002-06-01,-109
2002-07-01,-217
2002-08-01,-287
2002-09-01,-69
2002-10-01,195
2002-11-01,-18
2002-12-01,2
2003-01-01,0
2003-02-01,0
2003-03-01,3
2003-04-01,23
2003-05-01,-32
2003-06-01,200
2003-07-01,178
2003-08-01,324
2003-09-01,134
2003-10-01,113
2003-11-01,21
2003-12-01,-3
2004-01-01,5
2004-02-01,-1
2004-03-01,-8
2004-04-01,37
2004-05-01,-32
2004-06-01,-1
2004-07-01,90
2004-08-01,-55
2004-09-01,-253
2004-10-01,-136
2004-11-01,7
2004-12-01,-2
2005-01-01,-2
2005-02-01,29
2005-03-01,24
2005-04-01,-17
2005-05-01,30
2005-06-01,172
2005-07-01,43
2005-08-01,-92
2005-09-01,66
2005-10-01,-25
2005-11-01,-12
2005-12-01,-3
2006-01-01,-3
2006-02-01,18
2006-03-01,-16
2006-04-01,-2
2006-05-01,3
2006-06-01,-69
2006-07-01,-107
2006-08-01,68
2006-09-01,154
2006-10-01,28
2006-11-01,-23
2006-12-01,-4
2007-01-01,-5
2007-02-01,-6
2007-03-01,-10
2007-04-01,29
2007-05-01,-50
2007-06-01,-147
2007-07-01,-33
2007-08-01,281
2007-09-01,-209
2007-10-01,-126
2007-11-01,40
2007-12-01,-1
2008-01-01,-5
2008-02-01,-2
2008-03-01,-5
2008-04-01,-7
2008-05-01,16
2008-06-01,201
2008-07-01,172
2008-08-01,178
2008-09-01,23
2008-10-01,73
2008-11-01,-17
2008-12-01,-2
2009-01-01,-5
2009-02-01,7
2009-03-01,-4
2009-04-01,-33
2009-05-01,-23
2009-06-01,0
2009-07-01,-148
2009-08-01,216
2009-09-01,319
2009-10-01,55
2009-11-01,11
2009-12-01,-3
2010-01-01,-5
2010-02-01,-2
2010-03-01,-12
2010-04-01,7
2010-05-01,88
2010-06-01,144
2010-07-01,123
2010-08-01,61
2010-09-01,477
2010-10-01,211
2010-11-01,-8
2010-12-01,-3
2011-01-01,-4
2011-02-01,3
2011-03-01,-4
2011-04-01,-27
2011-05-01,-37
2011-06-01,-38
2011-07-01,-153
2011-08-01,174
2011-09-01,-160
2011-10-01,-91
2011-11-01,-17
2011-12-01,-3
2012-01-01,-5
2012-02-01,8
2012-03-01,-6
2012-04-01,10
2012-05-01,72
2012-06-01,41
2012-07-01,413
2012-08-01,400
2012-09-01,266
2012-10-01,-3
2012-11-01,42
2012-12-01,-2
2013-01-01,-3
2013-02-01,8
2013-03-01,5
2013-04-01,90
2013-05-01,-75
2013-06-01,-56
2013-07-01,-152
2013-08-01,389
2013-09-01,76
2013-10-01,15
2013-11-01,-6
2013-12-01,0
2014-01-01,9
2014-02-01,3
2014-03-01,0
2014-04-01,2
2014-05-01,346
2014-06-01,53
2014-07-01,-214
2014-08-01,184
2014-09-01,179
2014-10-01,29
2014-11-01,16
2014-12-01,-2
2015-01-01,-4
2015-02-01,12
2015-03-01,1
2015-04-01,-52
2015-05-01,-90
2015-06-01,-101
2015-07-01,371
2015-08-01,567
2015-09-01,378
2015-10-01,153
2015-11-01,16
2015-12-01,-3
2016-01-01,7
2016-02-01,-7
2016-03-01,23
