date,swmonsoon
1972-03-01,0.07
1972-04-01,0.08
1972-05-01,0.56
1972-06-01,1.07
1972-07-01,1.7
1972-08-01,2.18
1972-09-01,1.47
1972-10-01,3.94
1972-11-01,1.29
1972-12-01,1.1
1973-01-01,0.65
1973-02-01,1.46
1973-03-01,2.9
1973-04-01,0.54
1973-05-01,0.93
1973-06-01,0.63
1973-07-01,1.99
1973-08-01,1.17
1973-09-01,0.71
1973-10-01,0.27
1973-11-01,0.61
1973-12-01,0.22
1974-01-01,1.64
1974-02-01,0.21
1974-03-01,0.77
1974-04-01,0.26
1974-05-01,0.12
1974-06-01,0.32
1974-07-01,2.21
1974-08-01,1.79
1974-09-01,1.18
1974-10-01,2.7
1974-11-01,0.52
1974-12-01,0.65
1975-01-01,0.66
1975-02-01,0.9
1975-03-01,1.41
1975-04-01,0.89
1975-05-01,0.34
1975-06-01,0.32
1975-07-01,2.4
1975-08-01,1.01
1975-09-01,2.08
1975-10-01,0.16
1975-11-01,1.05
1975-12-01,0.62
1976-01-01,0.19
1976-02-01,1.43
1976-03-01,0.51
1976-04-01,0.95
1976-05-01,0.91
1976-06-01,0.27
1976-07-01,2.3
1976-08-01,1.39
1976-09-01,2.09
1976-10-01,0.68
1976-11-01,0.43
1976-12-01,0.26
1977-01-01,1.15
1977-02-01,0.28
1977-03-01,0.46
1977-04-01,0.92
1977-05-01,0.72
1977-06-01,0.55
1977-07-01,2.29
1977-08-01,2.46
1977-09-01,1.36
1977-10-01,0.93
1977-11-01,0.74
1977-12-01,0.64
1978-01-01,2.12
1978-02-01,1.76
1978-03-01,2.26
1978-04-01,0.45
1978-05-01,1.32
1978-06-01,0.79
1978-07-01,1.2
1978-08-01,1.4
1978-09-01,0.77
1978-10-01,1.36
1978-11-01,3.07
1978-12-01,2.37
1979-01-01,2.6
1979-02-01,0.61
1979-03-01,1.59
1979-04-01,0.45
1979-05-01,1.79
1979-06-01,0.98
1979-07-01,1.37
1979-08-01,2.23
1979-09-01,0.37
1979-10-01,0.62
1979-11-01,0.71
1979-12-01,0.63
1980-01-01,2.26
1980-02-01,2.6
1980-03-01,1.33
1980-04-01,0.92
1980-05-01,0.93
1980-06-01,0.14
1980-07-01,1.11
1980-08-01,1.57
1980-09-01,1.14
1980-10-01,0.52
1980-11-01,0.26
1980-12-01,0.3
1981-01-01,0.49
1981-02-01,0.57
1981-03-01,2.01
1981-04-01,0.55
1981-05-01,0.97
1981-06-01,0.82
1981-07-01,2.5
1981-08-01,2.47
1981-09-01,1.33
1981-10-01,1.13
1981-11-01,0.91
1981-12-01,0.11
1982-01-01,1.34
1982-02-01,1.34
1982-03-01,1.64
1982-04-01,0.24
1982-05-01,1.1
1982-06-01,0.35
1982-07-01,2.03
1982-08-01,3.09
1982-09-01,1.78
1982-10-01,0.36
1982-11-01,1.67
1982-12-01,2.06
1983-01-01,1.24
1983-02-01,1.25
1983-03-01,2.52
1983-04-01,0.69
1983-05-01,0.52
1983-06-01,0.6
1983-07-01,1.86
1983-08-01,2.7
1983-09-01,2.5
1983-10-01,1.6
1983-11-01,1.1
1983-12-01,1.6
1984-01-01,0.51
1984-02-01,0.16
1984-03-01,0.78
1984-04-01,0.79
1984-05-01,0.39
1984-06-01,1.05
1984-07-01,2.64
1984-08-01,3.21
1984-09-01,1.65
1984-10-01,1.92
1984-11-01,0.79
1984-12-01,2.71
1985-01-01,1.31
1985-02-01,0.84
1985-03-01,1.66
1985-04-01,1.58
1985-05-01,0.75
1985-06-01,0.58
1985-07-01,2.07
1985-08-01,1.38
1985-09-01,2.21
1985-10-01,1.92
1985-11-01,1.69
1985-12-01,0.37
1986-01-01,0.2
1986-02-01,1.29
1986-03-01,1.34
1986-04-01,0.81
1986-05-01,0.91
1986-06-01,1.49
1986-07-01,2.39
1986-08-01,2.55
1986-09-01,1.81
1986-10-01,1.63
1986-11-01,1.79
1986-12-01,1.27
1987-01-01,1.12
1987-02-01,1.66
1987-03-01,0.73
1987-04-01,0.49
1987-05-01,1.21
1987-06-01,0.75
1987-07-01,1.1
1987-08-01,2.59
1987-09-01,0.81
1987-10-01,1.06
1987-11-01,1.43
1987-12-01,1.43
1988-01-01,1.11
1988-02-01,0.69
1988-03-01,0.25
1988-04-01,1.7
1988-05-01,0.69
1988-06-01,1.36
1988-07-01,2.04
1988-08-01,3.83
1988-09-01,1.28
1988-10-01,0.81
1988-11-01,0.79
1988-12-01,0.37
1989-01-01,1.35
1989-02-01,0.68
1989-03-01,0.63
1989-04-01,0.08
1989-05-01,0.5
1989-06-01,0.51
1989-07-01,2.01
1989-08-01,1.85
1989-09-01,0.81
1989-10-01,1.15
1989-11-01,0.07
1989-12-01,0.42
1990-01-01,0.95
1990-02-01,1.07
1990-03-01,0.94
1990-04-01,1.08
1990-05-01,0.69
1990-06-01,0.37
1990-07-01,3.31
1990-08-01,2.6
1990-09-01,2.33
1990-10-01,0.67
1990-11-01,1.1
1990-12-01,1.56
1991-01-01,0.88
1991-02-01,0.7
1991-03-01,2.46
1991-04-01,0.08
1991-05-01,0.68
1991-06-01,1.04
1991-07-01,1.97
1991-08-01,2.4
1991-09-01,1.71
1991-10-01,0.6
1991-11-01,1.72
1991-12-01,1.86
1992-01-01,1.07
1992-02-01,1.36
1992-03-01,2.24
1992-04-01,0.41
1992-05-01,2.0
1992-06-01,0.66
1992-07-01,2.02
1992-08-01,3.34
1992-09-01,0.56
1992-10-01,0.66
1992-11-01,0.53
1992-12-01,2.57
1993-01-01,3.88
1993-02-01,2.42
1993-03-01,1.17
1993-04-01,0.22
1993-05-01,0.87
1993-06-01,0.46
1993-07-01,0.82
1993-08-01,3.84
1993-09-01,0.62
1993-10-01,1.03
1993-11-01,1.47
1993-12-01,0.29
1994-01-01,0.3
1994-02-01,1.09
1994-03-01,1.38
1994-04-01,0.99
1994-05-01,1.5
1994-06-01,0.49
1994-07-01,1.3
1994-08-01,2.24
1994-09-01,1.54
1994-10-01,1.32
1994-11-01,1.56
1994-12-01,1.59
1995-01-01,1.89
1995-02-01,1.14
1995-03-01,1.35
1995-04-01,0.97
1995-05-01,1.23
1995-06-01,0.7
1995-07-01,0.88
1995-08-01,2.27
1995-09-01,1.72
1995-10-01,0.07
1995-11-01,0.52
1995-12-01,0.42
1996-01-01,0.35
1996-02-01,0.87
1996-03-01,0.43
1996-04-01,0.1
1996-05-01,0.16
1996-06-01,1.17
1996-07-01,2.26
1996-08-01,2.18
1996-09-01,1.85
1996-10-01,1.21
1996-11-01,0.87
1996-12-01,0.23
1997-01-01,1.8
1997-02-01,0.98
1997-03-01,0.14
1997-04-01,1.38
1997-05-01,0.88
1997-06-01,1.01
1997-07-01,1.54
1997-08-01,2.63
1997-09-01,2.26
1997-10-01,0.79
1997-11-01,0.84
1997-12-01,1.8
1998-01-01,0.44
1998-02-01,2.26
1998-03-01,1.79
1998-04-01,0.76
1998-05-01,0.14
1998-06-01,0.11
1998-07-01,3.09
1998-08-01,2.14
1998-09-01,1.2
1998-10-01,2.21
1998-11-01,1.0
1998-12-01,0.33
1999-01-01,0.3
1999-02-01,0.27
1999-03-01,0.5
1999-04-01,1.95
1999-05-01,1.0
1999-06-01,0.79
1999-07-01,3.43
1999-08-01,3.12
1999-09-01,1.6
1999-10-01,0.18
1999-11-01,0.03
1999-12-01,0.14
2000-01-01,0.42
2000-02-01,0.44
2000-03-01,2.06
2000-04-01,0.33
2000-05-01,0.09
2000-06-01,1.05
2000-07-01,1.14
2000-08-01,2.27
2000-09-01,0.27
2000-10-01,3.54
2000-11-01,0.93
2000-12-01,0.3
2001-01-01,1.57
2001-02-01,1.0
2001-03-01,1.13
2001-04-01,0.87
2001-05-01,0.74
2001-06-01,0.44
2001-07-01,1.76
2001-08-01,2.35
2001-09-01,0.48
2001-10-01,0.37
2001-11-01,0.62
2001-12-01,0.73
2002-01-01,0.37
2002-02-01,0.14
2002-03-01,0.23
2002-04-01,0.27
2002-05-01,0.04
2002-06-01,0.4
2002-07-01,1.68
2002-08-01,1.07
2002-09-01,2.34
2002-10-01,1.13
2002-11-01,0.76
2002-12-01,0.91
2003-01-01,0.24
2003-02-01,2.09
2003-03-01,1.12
2003-04-01,0.29
2003-05-01,0.26
2003-06-01,0.52
2003-07-01,1.12
2003-08-01,1.95
2003-09-01,1.37
2003-10-01,0.6
2003-11-01,1.11
2003-12-01,0.48
2004-01-01,0.69
2004-02-01,1.22
2004-03-01,0.73
2004-04-01,2.22
2004-05-01,0.03
2004-06-01,0.55
2004-07-01,1.67
2004-08-01,1.63
2004-09-01,1.7
2004-10-01,1.66
2004-11-01,1.47
2004-12-01,1.3
2005-01-01,2.47
2005-02-01,2.76
2005-03-01,1.2
2005-04-01,0.91
