date,indiamon
1976-08-01,3013
1976-09-01,1403
1976-10-01,20
1976-11-01,530
1976-12-01,13
1977-01-01,60
1977-02-01,34
1977-03-01,60
1977-04-01,65
1977-05-01,220
1977-06-01,1871
1977-07-01,3417
1977-08-01,2511
1977-09-01,1560
1977-10-01,311
1977-11-01,547
1977-12-01,37
1978-01-01,63
1978-02-01,205
1978-03-01,130
1978-04-01,133
1978-05-01,126
1978-06-01,2011
1978-07-01,3197
1978-08-01,3092
1978-09-01,931
1978-10-01,222
1978-11-01,272
1978-12-01,192
1979-01-01,177
1979-02-01,295
1979-03-01,55
1979-04-01,10
1979-05-01,190
1979-06-01,1443
1979-07-01,2220
1979-08-01,2566
1979-09-01,1075
1979-10-01,133
1979-11-01,886
1979-12-01,39
1980-01-01,22
1980-02-01,12
1980-03-01,27
1980-04-01,44
1980-05-01,20
1980-06-01,2283
1980-07-01,2158
1980-08-01,3176
1980-09-01,629
1980-10-01,37
1980-11-01,32
1980-12-01,217
1981-01-01,103
1981-02-01,8
1981-03-01,120
1981-04-01,27
1981-05-01,146
1981-06-01,1350
1981-07-01,3031
1981-08-01,2521
1981-09-01,2006
1981-10-01,342
1981-11-01,183
1981-12-01,93
1982-01-01,298
1982-02-01,49
1982-03-01,81
1982-04-01,101
1982-05-01,330
1982-06-01,930
1982-07-01,2561
1982-08-01,2796
1982-09-01,1045
1982-10-01,255
1982-11-01,552
1982-12-01,29
1983-01-01,27
1983-02-01,13
1983-03-01,6
1983-04-01,133
1983-05-01,156
1983-06-01,1241
1983-07-01,3112
1983-08-01,3406
1983-09-01,2772
1983-10-01,602
1983-11-01,8
1983-12-01,41
1984-01-01,125
1984-02-01,141
1984-03-01,13
1984-04-01,35
1984-05-01,11
1984-06-01,1020
1984-07-01,2478
1984-08-01,3246
1984-09-01,989
1984-10-01,482
1984-11-01,10
1984-12-01,3
1985-01-01,86
1985-02-01,3
1985-03-01,13
1985-04-01,80
1985-05-01,96
1985-06-01,1251
1985-07-01,2341
1985-08-01,2253
1985-09-01,899
1985-10-01,1170
1985-11-01,32
1985-12-01,25
1986-01-01,60
1986-02-01,292
1986-03-01,34
1986-04-01,22
1986-05-01,120
1986-06-01,1668
1986-07-01,2758
1986-08-01,2233
1986-09-01,500
1986-10-01,76
1986-11-01,65
1986-12-01,151
1987-01-01,158
1987-02-01,115
1987-03-01,45
1987-04-01,6
1987-05-01,193
1987-06-01,1118
1987-07-01,1591
1987-08-01,2887
1987-09-01,552
1987-10-01,648
1987-11-01,242
1987-12-01,233
1988-01-01,22
1988-02-01,37
1988-03-01,32
1988-04-01,86
1988-05-01,60
1988-06-01,1376
1988-07-01,3600
1988-08-01,2508
1988-09-01,2321
1988-10-01,392
1988-11-01,30
1988-12-01,17
1989-01-01,30
1989-02-01,0
1989-03-01,195
1989-04-01,17
1989-05-01,78
1989-06-01,1606
1989-07-01,2386
1989-08-01,2871
1989-09-01,1149
1989-10-01,90
1989-11-01,8
1989-12-01,75
1990-01-01,12
1990-02-01,131
1990-03-01,22
1990-04-01,8
1990-05-01,645
1990-06-01,1963
1990-07-01,2498
1990-08-01,3931
1990-09-01,1903
1990-10-01,774
1990-11-01,75
1990-12-01,111
1991-01-01,15
1991-02-01,30
1991-03-01,27
1991-04-01,95
1991-05-01,73
1991-06-01,1626
1991-07-01,3276
1991-08-01,2188
1991-09-01,370
1991-10-01,70
1991-11-01,70
1991-12-01,37
1992-01-01,18
1992-02-01,20
1992-03-01,5
1992-04-01,22
1992-05-01,128
1992-06-01,1205
1992-07-01,1950
1992-08-01,3572
1992-09-01,1455
1992-10-01,480
1992-11-01,100
1992-12-01,5
1993-01-01,1
1993-02-01,68
1993-03-01,79
1993-04-01,39
1993-05-01,75
1993-06-01,1658
1993-07-01,3213
1993-08-01,2048
1993-09-01,2096
1993-10-01,728
1993-11-01,40
1993-12-01,101
1994-01-01,146
1994-02-01,64
1994-03-01,4
1994-04-01,143
1994-05-01,91
1994-06-01,2451
1994-07-01,3436
1994-08-01,2882
1994-09-01,1613
1994-10-01,362
1994-11-01,70
1994-12-01,17
1995-01-01,287
1995-02-01,28
1995-03-01,162
1995-04-01,51
1995-05-01,94
1995-06-01,815
1995-07-01,3214
1995-08-01,1856
1995-09-01,1275
1995-10-01,542
1995-11-01,6
1995-12-01,69
1996-01-01,72
1996-02-01,82
1996-03-01,25
1996-04-01,70
1996-05-01,51
1996-06-01,1095
1996-07-01,3163
1996-08-01,2569
1996-09-01,1522
1996-10-01,789
1996-11-01,28
1996-12-01,1
1997-01-01,71
1997-02-01,1
1997-03-01,16
1997-04-01,148
1997-05-01,145
1997-06-01,1868
1997-07-01,2463
1997-08-01,2740
1997-09-01,1093
1997-10-01,992
1997-11-01,433
1997-12-01,611
1998-01-01,42
1998-02-01,41
1998-03-01,66
1998-04-01,50
1998-05-01,89
1998-06-01,1465
1998-07-01,2463
1998-08-01,2281
1998-09-01,2404
1998-10-01,957
1998-11-01,272
1998-12-01,0
1999-01-01,14
1999-02-01,259
1999-03-01,4
1999-04-01,0
1999-05-01,293
1999-06-01,1817
1999-07-01,2467
1999-08-01,1389
1999-09-01,2132
1999-10-01,895
1999-11-01,1
1999-12-01,0
